[Fe/H] err  [O/Fe] err [Mg/Fe] err [Si/Fe] err
-0.64  0.03 -0.04  0.04 -0.29  0.10  0.14  0.04
-0.48  0.03 -0.03  0.04 -0.27  0.10  0.05  0.07
-0.50  0.03  0.09  0.09  0.15  0.10  0.00  0.08
-0.51  0.03 -0.06  0.09  0.07  0.11  0.17  0.07
-0.35  0.01 -0.14  0.08 -0.20  0.10 -0.22  0.06
-0.47  0.02  0.10  0.13 -0.16  0.16  0.07  0.09
-0.27  0.02  0.18  0.09 -0.14  0.11 -0.09  0.04
-0.57  0.03 -0.16  0.10 -0.36  0.13  0.16  0.02
-0.53  0.02  0.02  0.04 -0.35  0.11  0.27  0.04
-0.86  0.02  0.05  0.11 -0.08  0.08  0.34  0.05
-0.55  0.02  0.06  0.07 -0.21  0.08 -0.11  0.05
-0.50  0.03 -30.0 -30.0 -0.37  0.09  0.12  0.03
-0.31  0.03 -0.38  0.06 -0.21  0.12  0.09  0.05
-1.00  0.02  0.07  0.06 -0.23  0.09  0.18  0.04
-0.16  0.01 -30.0 -30.0 -0.44  0.08 -0.14  0.03
-0.61  0.02  0.06  0.03 -0.08  0.10  0.17  0.04
-0.44  0.04 -30.0 -30.0 -30.0 -30.0  0.20  0.04
-0.42  0.03 -30.0 -30.0 -0.20  0.08  0.15  0.05
-1.35  0.02  0.30  0.04  0.05  0.07  0.45  0.07
-0.86  0.02  0.12  0.08 -0.21  0.10  0.14  0.03
-0.48  0.04 -0.10  0.13 -0.34  0.13  0.02  0.03
-0.39  0.02 -0.21  0.07 -0.09  0.07 -0.06  0.01
-0.51  0.03 -0.13  0.09 -0.16  0.14  0.10  0.05
-1.10  0.01  0.16  0.07  0.13  0.06  0.18  0.03
-0.56  0.03 -0.09  0.07 -0.05  0.10  0.12  0.05
-0.54  0.03  0.08  0.09 -0.08  0.16  0.01  0.07
-0.51  0.02  0.00  0.08  0.00  0.12  0.20  0.04
-0.52  0.02 -0.08  0.12 -0.22  0.09  0.24  0.03
-0.56  0.02  0.03  0.07 -0.29  0.06  0.27  0.12
-0.43  0.02 -0.06  0.11 -30.0 -30.0  0.34  0.06
-0.59  0.02 -30.0 -30.0 -0.24  0.11  0.13  0.07
