[Fe/H] err [O/Fe] err [Na/Fe] err [Mg/Fe] err [Si/Fe] err [Ca/Fe] err [Sc/Fe] err [Ti/Fe] err [V/Fe] err [Cr/Fe] err [Mn/Fe] err [FeII/Fe] err [Co/Fe] err [Ni/Fe] err [Cu/Fe] err [Ba/Fe] err [La/Fe] err [Nd/Fe] err [Eu/Fe] err
-1.43 0.15 -30.0 -30.0 -30.0 -30.0 0.37 0.30 -30.0 -30.0 0.19 0.07 -30.0 -30.0 0.28 0.12 -30.0 -30.0 0.18 0.30 -0.34 0.11 0.10 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.22 0.32 0.74 0.32 -30.0 -30.0 -30.0 -30.0
-1.61 0.15 -30.0 -30.0 -30.0 -30.0 -0.13 0.29 -30.0 -30.0 0.50 0.29 -30.0 -30.0 0.53 0.22 -30.0 -30.0 -0.07 0.29 -30.0 -30.0 0.77 0.33 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.13 0.31 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.64 0.15 -30.0 -30.0 -30.0 -30.0 -0.84 0.25 -30.0 -30.0 -0.50 0.25 -30.0 -30.0 0.28 0.14 -30.0 -30.0 -0.31 0.25 -0.51 0.26 0.44 0.34 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 
-2.07 0.11 -30.0 -30.0 0.19 0.28 0.19 0.11 -30.0 -30.0 0.09 0.06 0.14 0.29 0.15 0.14 -30.0 -30.0 -0.15 0.11 -0.40 0.23 0.41 0.18 -30.0 -30.0 0.08 0.11 -30.0 -30.0 -0.88 0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.99 0.14 0.39 0.20 -30.0 -30.0 0.01 0.09 -30.0 -30.0 -0.10 0.05 0.27 0.19 0.03 0.10 -30.0 -30.0 -0.11 0.16 -0.44 0.07 0.29 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.43 0.11 0.70 0.12 0.81 0.17 1.17 0.20
-1.35 0.14 0.57 0.26 -0.76 0.24 0.10 0.25 0.29 0.14 0.12 0.07 0.00 0.18 0.07 0.07 -0.04 0.34 -0.22 0.18 -0.32 0.15 0.11 0.17 -30.0 -30.0 -0.13 0.09 -0.32 0.23 -0.26 0.21 0.34 0.25 0.36 0.24 0.62 0.25
-1.49 0.14 0.43 0.19 -0.31 0.16 0.20 0.17 0.11 0.18 0.04 0.04 -0.22 0.18 0.15 0.08 -30.0 -30.0 0.07 0.15 -0.36 0.07 0.07 0.16 -30.0 -30.0 -0.04 0.15 -0.64 0.17 0.16 0.11 0.35 0.11 0.42 0.17 0.39 0.19
-1.73 0.11 0.55 0.24 -0.06 0.23 0.52 0.24 0.56 0.24 0.18 0.05 0.05 0.24 0.25 0.18 -30.0 -30.0 -0.19 0.04 -30.0 -30.0 0.38 0.16 -30.0 -30.0 0.14 0.15 -30.0 -30.0 0.26 0.33 0.64 0.24 -30.0 -30.0 -30.0 -30.0
-1.48 0.13 -30.0 -30.0 -0.13 0.24 0.26 0.14 0.06 0.24 0.14 0.07 0.36 0.21 0.08 0.10 0.39 0.29 -0.19 0.07 0.01 0.11 0.33 0.17 -30.0 -30.0 0.01 0.13 -30.0 -30.0 0.04 0.13 -30.0 -30.0 -30.0 -30.0 0.80 0.25
-2.24 0.11 -30.0 -30.0 -30.0 -30.0 -0.17 0.17 -30.0 -30.0 0.01 0.07 0.39 0.13 0.03 0.14 -30.0 -30.0 -0.47 0.03 0.21 0.24 0.48 0.14 -30.0 -30.0 0.04 0.14 -30.0 -30.0 -0.91 0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.72 0.12 -30.0 -30.0 -30.0 -30.0 -0.12 0.07 -30.0 -30.0 -0.11 0.06 -0.08 0.19 -0.14 0.24 0.51 0.23 0.17 0.13 0.24 0.23 0.20 0.16 -30.0 -30.0 -0.27 0.10 -30.0 -30.0 0.51 0.13 0.72 0.24 0.31 0.24 -30.0 -30.0
-1.81 0.10 0.43 0.19 -30.0 -30.0 -0.31 0.05 -30.0 -30.0 -0.22 0.03 -0.31 0.12 0.08 0.06 -0.18 0.33 -0.14 0.08 -0.46 0.05 0.40 0.11 -30.0 -30.0 -0.21 0.06 -30.0 -30.0 0.31 0.08 0.41 0.10 0.56 0.12 0.85 0.14
-1.50 0.15 0.76 0.26 -0.39 0.24 0.16 0.08 0.21 0.26 0.24 0.08 0.20 0.22 0.21 0.17 0.16 0.11 0.00 0.10 -0.32 0.16 0.29 0.19 -30.0 -30.0 0.03 0.10 -30.0 -30.0 0.40 0.14 0.73 0.12 -30.0 -30.0 0.85 0.26
-1.53 0.10 0.58 0.15 -0.46 0.17 0.15 0.05 0.22 0.12 0.06 0.04 0.26 0.11 0.26 0.07 -0.31 0.21 -0.06 0.09 -0.36 0.06 0.13 0.12 0.03 0.13 -0.07 0.07 -30.0 -30.0 0.23 0.12 0.35 0.11 0.31 0.13 0.26 0.20
-1.47 0.15 -30.0 -30.0 -30.0 -30.0 0.07 0.24 -30.0 -30.0 0.33 0.31 -30.0 -30.0 0.32 0.07 -30.0 -30.0 -0.17 0.24 -0.48 0.24 0.40 0.16 -30.0 -30.0 0.47 0.24 -30.0 -30.0 0.27 0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-2.02 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.44 0.26 -30.0 -30.0 0.21 0.12 -30.0 -30.0 -0.62 0.26 -30.0 -30.0 0.24 0.17 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.88 0.28 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.25 0.11 0.54 0.23 -0.29 -0.21 0.29 0.15 0.33 0.18 0.01 0.06 0.02 0.09 0.14 0.09 -0.15 0.12 -0.03 0.08 -0.61 0.06 0.12 0.12 -0.04 0.21 -0.20 0.08 -30.0 -30.0 -0.01 0.09 0.57 0.21 -30.0 -30.0 -30.0 -30.0
-2.13 0.15 -30.0 -30.0 -30.0 -30.0 0.75 0.22 -30.0 -30.0 0.14 0.09 0.38 0.12 0.37 0.21 -30.0 -30.0 -0.28 0.07 0.44 0.09 0.37 0.24 -30.0 -30.0 -0.03 0.07 -30.0 -30.0 -0.13 0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.37 0.15 -30.0 -30.0 -30.0 -30.0 0.08 0.26 -30.0 -30.0 0.50 0.26 -30.0 -30.0 0.85 0.43 -30.0 -30.0 -0.05 0.26 -30.0 -30.0 0.68 0.16 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.37 0.28 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.84 0.14 -30.0 -30.0 -30.0 -30.0 0.27 0.05 -30.0 -30.0 0.14 0.06 0.39 0.40 0.17 0.18 -30.0 -30.0 -0.03 0.09 -0.13 0.23 0.55 0.34 -30.0 -30.0 0.10 0.15 -30.0 -30.0 0.39 0.12 -30.0 -30.0 0.41 0.24 -30.0 -30.0
-1.43 0.10 0.29 0.18 -0.29 0.16 0.00 0.07 0.42 0.16 0.04 0.03 0.09 0.09 0.13 0.06 -0.04 0.09 -0.25 0.14 -0.35 0.07 0.23 0.13 -30.0 -30.0 -0.07 0.04 -0.56 0.24 0.03 0.10 0.24 0.14 0.26 0.23 -30.0 -30.0
-1.17 0.15 -30.0 -30.0 -30.0 -30.0 0.52 0.22 -30.0 -30.0 0.31 0.12 -30.0 -30.0 0.27 0.13 -30.0 -30.0 0.52 0.22 -0.31 0.12 0.24 0.23 -30.0 -30.0 0.51 0.22 -30.0 -30.0 0.12 0.23 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.17 0.15 -30.0 -30.0 -30.0 -30.0 0.49 0.21 -30.0 -30.0 0.03 0.09 -30.0 -30.0 0.73 0.22 -30.0 -30.0 0.27 0.14 -30.0 -30.0 0.92 0.29 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.42 0.22 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.55 0.15 -30.0 -30.0 -30.0 -30.0 -0.08 0.25 -30.0 -30.0 -0.06 0.19 -30.0 -30.0 0.28 0.26 -30.0 -30.0 -0.38 0.25 0.13 0.25 0.66 0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.05 0.26 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.55 0.15 -30.0 -30.0 -30.0 -30.0 0.03 0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.27 0.14 -30.0 -30.0 -0.47 0.18 -30.0 -30.0 0.28 0.23 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.09 0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.51 0.16 -30.0 -30.0 -30.0 -30.0 0.32 0.25 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 0.65 0.27 -30.0 -30.0 -0.08 0.25 -30.0 -30.0 0.27 0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
