[C/H] [Na/H] [Mg/H] [Al/H] [Si/H] [Ca/H] [Sc/H] [TiI/H] [Ti/H] [Cr/H] [CrII/H] [Mn/H] [Fe/H] [FeII/H] [Co/H] [Ni/H] [Zn/H] [Sr/H] [Ba/H] [Eu/H]
-3.05 -3.7 -3.14 -4.43 -2.96 -3.28 -3.85 -3.6 -3.66 -4.09 -30.0 -4.0 -3.71 -3.71 -3.49 -3.66 -30.0 -3.87 -3.12 -2.71 
-1.36 -1.24 -1.16 -1.65 -1.28 -1.16 -1.72 -1.41 -1.17 -1.64 -1.5 -1.75 -1.56 -1.56 -1.37 -1.63 -1.61 -1.47 -1.38 -1.01 
-3.07 -3.26 -2.78 -4.1 -30.0 -2.86 -3.22 -2.93 -2.98 -3.76 -30.0 -3.18 -3.26 -3.25 -3.15 -2.97 -30.0 -5.24 -4.14 -2.27 
-3.53 -2.83 -2.85 -3.62 -2.99 -2.91 -3.62 -3.05 -3.11 -3.76 -3.15 -3.89 -3.4 -3.37 -3.27 -3.25 -2.75 -3.12 -3.68 -2.37 
-2.79 -2.71 -2.81 -4.42 -2.41 -3.16 -3.48 -3.27 -3.38 -3.9 -30.0 -3.83 -3.44 -3.44 -3.24 -3.39 -30.0 -3.65 -4.12 -2.82 
-2.83 -2.62 -2.5 -3.75 -2.19 -2.49 -2.92 -2.7 -2.45 -2.69 -2.26 -2.89 -2.33 -2.31 -2.63 -2.61 -2.66 -2.85 -3.11 -2.02 
-2.74 -2.62 -2.6 -3.98 -2.62 -2.67 -3.11 -2.85 -2.72 -3.32 -30.0 -3.5 -3.09 -3.08 -2.88 -2.82 -30.0 -3.42 -3.48 -2.62 
-3.23 -2.53 -2.57 -3.44 -2.12 -2.71 -30.0 -2.91 -2.8 -3.25 -2.85 -30.0 -2.97 -2.97 -3.01 -2.97 -2.99 -3.29 -3.69 -3.27 
-2.64 -2.44 -2.58 -4.06 -30.0 -2.78 -3.21 -2.89 -3.02 -3.59 -30.0 -3.53 -3.2 -3.17 -3.09 -3.19 -30.0 -2.79 -2.45 -2.25 
-1.99 -2.13 -2.11 -3.24 -2.03 -2.08 -2.59 -2.23 -2.15 -2.62 -30.0 -2.77 -2.5 -2.49 -2.41 -2.39 -2.23 -2.36 -2.73 -2.17 
-2.5 -2.31 -2.32 -3.36 -1.96 -2.37 -2.91 -2.53 -2.48 -2.9 -30.0 -3.19 -2.72 -2.72 -2.64 -2.74 -2.6 -3.12 -3.07 -2.62 
-2.5 -2.48 -2.53 -3.65 -2.38 -2.57 -3.14 -2.53 -2.51 -2.79 -30.0 -2.78 -2.77 -2.77 -2.68 -2.55 -2.17 -2.79 -1.93 -1.71 
-3.33 -2.96 -2.79 -3.62 -2.59 -3.13 -3.69 -3.41 -3.27 -3.82 -30.0 -3.95 -3.41 -3.41 -3.41 -3.4 -30.0 -3.97 -3.0 -2.52 
-2.55 -2.25 -2.17 -3.16 -1.96 -2.25 -2.79 -2.46 -2.33 -2.68 -30.0 -2.82 -2.48 -2.48 -2.5 -2.43 -2.35 -3.1 -3.46 -2.97 
-3.36 -2.9 -2.58 -3.66 -2.5 -2.94 -3.18 -3.14 -3.09 -3.64 -30.0 -3.7 -3.18 -3.18 -3.18 -3.14 -3.2 -4.34 -4.85 -3.32 
-2.2 -2.02 -2.17 -3.21 -1.9 -2.27 -2.89 -2.44 -2.38 -2.87 -30.0 -3.05 -2.62 -2.62 -2.63 -2.65 -2.42 -2.65 -2.93 -2.57 
-2.45 -1.82 -1.69 -3.1 -1.73 -1.7 -2.19 -1.91 -1.77 -2.16 -30.0 -2.55 -2.08 -2.08 -2.01 -2.04 -30.0 -2.22 -1.83 -1.87 
-3.83 -2.88 -3.02 -4.03 -2.86 -3.1 -3.68 -3.44 -3.39 -4.14 -30.0 -4.43 -3.63 -3.63 -3.91 -3.74 -30.0 -4.64 -4.86 -3.67 
-2.2 -1.93 -1.97 -3.24 -1.79 -1.95 -2.65 -2.24 -2.26 -2.62 -30.0 -2.71 -2.4 -2.4 -2.47 -2.38 -30.0 -2.58 -2.38 -2.04 
-2.38 -2.29 -2.31 -3.39 -30.0 -2.29 -2.69 -2.42 -2.27 -2.77 -30.0 -2.85 -2.64 -2.62 -2.4 -2.67 -30.0 -2.81 -2.56 -2.22 
-2.9 -2.74 -2.6 -4.06 -30.0 -2.68 -3.32 -2.94 -2.87 -3.61 -30.0 -3.64 -3.11 -3.11 -2.75 -2.98 -30.0 -3.07 -3.41 -2.22 
-1.68 -2.92 -2.46 -3.74 -3.1 -2.42 -3.23 -2.39 -2.54 -3.0 -30.0 -2.74 -2.68 -2.67 -2.58 -2.96 -30.0 -3.29 -3.58 -1.92 
-1.98 -1.98 -2.28 -30.0 -1.7 -2.21 -30.0 -30.0 -1.92 -2.36 -30.0 -1.64 -2.34 -2.33 -2.52 -30.0 -30.0 -2.0 -2.57 -30.0 
-3.3 -2.21 -2.73 -3.85 -2.76 -2.7 -3.14 -2.86 -2.8 -3.51 -2.91 -3.61 -3.18 -3.17 -3.08 -3.12 -2.89 -3.21 -3.94 -30.0 
-2.8 -2.55 -2.53 -3.88 -2.64 -2.55 -3.1 -2.75 -2.76 -3.2 -2.83 -3.28 -2.99 -2.97 -2.8 -2.86 -2.55 -3.19 -4.95 -2.72 
-1.63 -1.08 -1.02 -2.12 -1.48 -1.03 -1.55 -1.21 -1.14 -1.6 -30.0 -1.98 -1.48 -1.46 -1.3 -1.47 -30.0 -1.04 -1.15 -1.18 
-2.28 -2.17 -2.3 -2.67 -1.37 -2.37 -2.92 -2.33 -2.53 -2.7 -30.0 -3.24 -2.62 -2.62 -2.67 -2.2 -30.0 -2.96 -3.28 -1.82 
-3.18 -2.7 -2.7 -30.0 -30.0 -2.72 -3.27 -2.87 -2.9 -3.29 -30.0 -3.61 -3.13 -3.12 -3.29 -3.03 -30.0 -3.41 -3.54 -1.92 
-30.0 -2.45 -2.61 -30.0 -30.0 -2.58 -30.0 -2.7 -2.69 -3.26 -1.36 -30.0 -2.96 -2.94 -2.23 -2.8 -30.0 -3.37 -3.48 -2.32 
-30.0 -1.77 -2.01 -30.0 -30.0 -2.01 -30.0 -2.28 -2.14 -3.17 -30.0 -30.0 -2.39 -2.38 -30.0 -2.63 -30.0 -30.0 -30.0 -30.0 
-2.73 -2.12 -2.0 -3.5 -1.9 -2.0 -2.55 -2.24 -2.1 -2.64 -2.21 -3.06 -2.39 -2.39 -2.42 -2.42 -2.5 -3.14 -2.67 -2.17 
-1.77 -1.71 -1.76 -2.9 -1.69 -1.63 -2.24 -1.87 -1.75 -2.04 -1.61 -2.59 -1.86 -1.86 -2.1 -2.03 -30.0 -2.02 -1.96 -1.49 
-1.88 -1.79 -1.5 -2.79 -1.55 -1.54 -2.11 -1.7 -1.59 -2.12 -1.88 -2.45 -1.98 -1.98 -1.85 -2.01 -30.0 -1.88 -2.02 -1.73 
-2.75 -2.87 -2.53 -3.62 -2.66 -2.53 -2.87 -2.6 -2.72 -3.27 -30.0 -3.46 -2.9 -2.88 -2.53 -2.96 -30.0 -3.5 -3.58 -30.0 
-2.3 -2.1 -2.13 -3.28 -2.01 -2.16 -2.69 -2.37 -2.27 -2.79 -30.0 -3.04 -2.59 -2.59 -2.4 -2.49 -30.0 -2.73 -2.73 -2.47 
-2.29 -1.87 -1.86 -2.85 -1.8 -1.78 -2.33 -2.02 -1.81 -2.3 -1.98 -2.81 -2.1 -2.09 -2.11 -2.25 -30.0 -1.87 -2.09 -1.82 
-2.48 -2.34 -2.18 -30.0 -1.32 -2.18 -3.1 -2.41 -2.38 -2.93 -30.0 -2.49 -2.62 -2.61 -2.17 -2.59 -30.0 -2.87 -2.71 -30.0 
-2.0 -2.22 -2.18 -3.38 -2.54 -2.4 -2.67 -2.53 -2.48 -2.78 -30.0 -2.84 -2.63 -2.62 -2.63 -2.74 -30.0 -3.52 -2.36 -30.0 
-2.85 -2.58 -2.47 -3.76 -2.3 -2.7 -3.23 -2.8 -2.83 -3.27 -30.0 -3.41 -3.03 -3.02 -2.8 -2.92 -30.0 -3.67 -3.54 -2.73 
-2.48 -30.0 -2.27 -3.51 -2.6 -2.33 -3.22 -2.58 -2.43 -3.03 -30.0 -3.34 -2.64 -2.63 -2.23 -2.53 -2.36 -3.47 -3.61 -1.62 
-2.43 -2.12 -2.12 -3.48 -30.0 -2.11 -2.82 -2.18 -2.06 -2.9 -30.0 -2.92 -2.52 -2.5 -2.4 -2.61 -2.26 -2.27 -2.62 -1.72 
-2.88 -2.41 -2.24 -3.47 -30.0 -2.49 -2.66 -2.63 -2.45 -3.3 -30.0 -2.99 -2.81 -2.81 -2.5 -2.92 -30.0 -3.1 -3.06 -1.72 
-2.83 -2.91 -2.9 -4.15 -2.71 -2.96 -3.57 -3.19 -3.23 -3.81 -30.0 -3.89 -3.44 -3.44 -3.15 -3.72 -30.0 -4.02 -4.46 -2.82 
-2.53 -2.14 -2.04 -3.46 -2.14 -2.05 -2.62 -2.29 -2.2 -2.54 -30.0 -2.89 -2.35 -2.35 -2.45 -2.32 -30.0 -2.77 -2.68 -2.27 
-2.86 -1.99 -2.09 -3.27 -2.27 -2.26 -2.72 -2.39 -2.22 -2.81 -30.0 -3.14 -2.54 -2.54 -2.77 -2.49 -30.0 -2.83 -2.89 -2.37 
-3.23 -2.11 -2.21 -3.06 -2.16 -2.29 -2.77 -2.57 -2.37 -3.02 -30.0 -3.23 -2.73 -2.73 -2.76 -2.66 -30.0 -2.44 -2.75 -2.42 
-2.33 -2.23 -2.14 -3.34 -2.32 -2.15 -2.79 -2.26 -2.26 -2.66 -30.0 -2.81 -2.56 -2.55 -2.36 -2.62 -30.0 -2.66 -2.13 -1.66 
-2.58 -2.49 -2.35 -4.05 -2.16 -2.4 -3.17 -2.65 -2.45 -3.08 -30.0 -3.01 -2.76 -2.75 -3.06 -2.67 -2.35 -3.42 -2.91 -2.42 
-2.35 -2.17 -2.24 -3.3 -1.62 -2.21 -2.72 -2.42 -2.35 -2.75 -2.29 -2.84 -2.58 -2.58 -2.46 -2.72 -30.0 -3.16 -2.78 -1.92 
-2.13 -2.03 -2.3 -3.29 -2.02 -2.11 -2.83 -2.33 -2.28 -2.37 -30.0 -2.49 -2.26 -2.25 -2.52 -2.23 -30.0 -2.98 -3.25 -2.52 
-2.88 -2.73 -2.66 -3.53 -2.96 -2.72 -3.41 -2.92 -2.91 -3.39 -30.0 -3.58 -3.15 -3.14 -3.11 -2.97 -30.0 -2.99 -4.11 -3.22 
-2.67 -30.0 -2.31 -3.55 -1.95 -2.36 -2.78 -2.58 -2.48 -3.01 -30.0 -3.16 -2.71 -2.71 -2.84 -30.0 -30.0 -3.1 -3.93 -2.42 
-3.08 -30.0 -2.28 -30.0 -30.0 -2.35 -2.69 -2.52 -2.46 -3.09 -30.0 -3.11 -2.73 -2.7 -2.61 -2.74 -30.0 -2.57 -2.86 -1.72 
-2.87 -2.14 -2.29 -3.14 -2.07 -2.38 -2.81 -2.46 -2.27 -2.76 -30.0 -2.97 -2.61 -2.58 -2.52 -2.58 -2.28 -2.47 -1.81 -1.47 
-2.43 -2.4 -2.27 -3.47 -2.11 -2.33 -2.93 -2.47 -2.5 -2.96 -30.0 -3.27 -2.79 -2.78 -2.72 -2.54 -2.56 -3.1 -3.19 -2.64 
-2.4 -2.28 -2.0 -3.1 -1.88 -2.23 -2.86 -2.48 -2.42 -2.89 -30.0 -3.17 -2.66 -2.66 -2.6 -2.6 -30.0 -2.4 -2.65 -2.35 
-2.49 -1.75 -1.74 -3.0 -1.79 -1.83 -2.27 -1.96 -1.8 -2.41 -30.0 -2.57 -2.24 -2.23 -2.23 -2.16 -30.0 -2.04 -1.88 -1.56 
-2.93 -1.89 -2.17 -3.14 -1.78 -2.12 -2.49 -2.34 -2.09 -2.73 -30.0 -2.83 -2.48 -2.47 -2.47 -2.47 -30.0 -2.26 -2.01 -1.92 
-1.93 -1.88 -1.87 -2.98 -1.72 -1.75 -2.35 -2.04 -1.97 -2.37 -30.0 -2.66 -2.2 -2.19 -1.94 -2.17 -30.0 -2.25 -2.41 -1.97 
-2.98 -2.96 -3.14 -4.21 -3.19 -3.28 -3.84 -3.16 -3.53 -3.99 -30.0 -4.2 -3.58 -3.57 -3.62 -3.56 -30.0 -3.56 -3.83 -3.49 
-2.61 -2.31 -2.27 -3.19 -2.16 -2.3 -2.69 -2.56 -2.35 -2.85 -30.0 -3.06 -2.5 -2.5 -2.78 -2.45 -2.53 -3.58 -3.31 -2.62 
-2.21 -2.21 -2.24 -3.14 -2.05 -2.18 -2.96 -2.44 -2.4 -2.63 -30.0 -3.08 -2.51 -2.51 -2.53 -2.62 -30.0 -2.94 -2.8 -2.39 
-2.22 -2.25 -2.3 -3.27 -2.13 -2.26 -3.04 -2.51 -2.48 -2.97 -30.0 -3.1 -2.77 -2.77 -2.7 -2.6 -30.0 -2.77 -2.71 -2.35 
-2.4 -2.4 -2.43 -3.66 -2.09 -2.4 -3.01 -2.54 -2.57 -3.05 -30.0 -3.19 -2.76 -2.76 -2.74 -2.81 -30.0 -3.23 -3.18 -2.52 
-2.29 -2.02 -1.93 -2.99 -1.92 -1.83 -2.18 -2.0 -1.72 -2.35 -30.0 -2.8 -2.17 -2.16 -1.53 -2.29 -30.0 -1.77 -1.32 -0.42 
-2.89 -2.19 -2.08 -3.17 -1.83 -2.14 -2.65 -2.25 -2.06 -2.67 -30.0 -3.09 -2.46 -2.46 -2.4 -2.42 -30.0 -2.25 -1.99 -1.44 
-3.33 -2.52 -2.49 -3.56 -2.21 -2.57 -3.21 -2.78 -2.72 -3.3 -30.0 -3.62 -3.0 -3.0 -3.01 -2.99 -30.0 -3.23 -3.29 -2.81 
-3.34 -2.71 -2.47 -3.58 -2.44 -2.64 -3.27 -2.82 -2.73 -3.36 -30.0 -3.46 -2.99 -2.99 -2.92 -2.94 -30.0 -3.1 -3.47 -3.12 
-4.18 -3.68 -3.27 -4.26 -2.95 -3.29 -4.27 -3.78 -3.71 -4.58 -30.0 -4.98 -3.89 -3.89 -4.07 -4.24 -30.0 -5.66 -5.16 -3.52 
-3.4 -3.25 -3.15 -3.95 -2.85 -3.21 -3.59 -3.38 -3.2 -4.09 -30.0 -4.22 -3.65 -3.65 -3.42 -3.65 -30.0 -5.17 -5.23 -3.37 
-3.78 -2.27 -2.52 -3.51 -2.42 -2.63 -2.91 -2.85 -2.57 -3.24 -30.0 -3.49 -2.99 -2.98 -3.01 -2.9 -2.73 -3.49 -3.85 -2.97 
-2.75 -2.66 -2.66 -3.85 -2.23 -2.65 -3.14 -2.85 -2.82 -3.4 -30.0 -3.67 -3.11 -3.1 -2.83 -3.18 -30.0 -3.54 -4.17 -2.87 
-2.96 -30.0 -1.96 -3.01 -1.95 -2.0 -2.5 -2.21 -2.03 -2.62 -30.0 -2.98 -2.4 -2.39 -2.49 -2.38 -30.0 -2.44 -2.35 -1.97 
-3.68 -3.37 -2.99 -4.25 -3.08 -2.95 -3.54 -3.04 -3.08 -3.52 -30.0 -3.84 -3.33 -3.33 -3.1 -3.62 -30.0 -4.05 -3.29 -2.67 
-2.59 -2.01 -2.41 -3.05 -2.24 -2.31 -2.57 -2.5 -1.93 -2.8 -30.0 -3.17 -2.62 -2.6 -1.07 -2.69 -30.0 -2.71 -2.67 -1.87 
-3.65 -2.48 -2.71 -4.19 -2.97 -3.03 -3.15 -3.04 -3.06 -3.95 -30.0 -4.01 -3.39 -3.39 -3.4 -3.62 -30.0 -5.72 -5.48 -3.12 
-0.98 -1.39 -1.13 -2.23 -1.12 -0.99 -1.54 -1.14 -1.07 -1.46 -1.48 -1.81 -1.29 -1.3 -1.33 -1.36 -1.31 -1.26 -1.39 -0.89 
-2.38 -2.08 -2.01 -3.25 -1.59 -2.05 -2.77 -2.26 -2.09 -2.54 -2.22 -2.79 -2.43 -2.44 -2.3 -2.31 -2.32 -3.15 -3.07 -2.57 
-2.63 -1.21 -1.78 -3.15 -1.99 -1.9 -2.54 -2.1 -1.95 -2.59 -30.0 -2.92 -2.31 -2.32 -2.28 -2.27 -30.0 -2.52 -2.67 -2.02 
-3.03 -2.11 -2.01 -3.03 -2.04 -2.14 -2.72 -2.39 -2.16 -2.8 -2.36 -2.97 -2.58 -2.56 -2.69 -2.56 -2.33 -2.38 -2.59 -1.84 
-3.68 -2.6 -2.65 -4.13 -2.41 -2.95 -3.02 -3.18 -2.88 -3.53 -30.0 -3.61 -3.22 -3.22 -3.34 -3.31 -2.51 -3.42 -3.21 -3.21 
-2.58 -3.49 -3.01 -4.21 -3.3 -3.07 -3.07 -30.0 -3.03 -3.81 -30.0 -3.44 -3.25 -3.23 -2.53 -2.6 -2.43 -3.35 -4.25 -1.95 
-3.35 -2.36 -2.47 -3.58 -2.6 -2.63 -2.82 -2.8 -2.74 -3.49 -2.84 -3.61 -3.12 -3.08 -2.84 -3.02 -2.65 -3.12 -3.62 -2.67 
-2.82 -2.48 -2.23 -3.03 -2.18 -2.42 -3.17 -2.45 -2.26 -3.08 -30.0 -3.06 -2.61 -2.61 -2.24 -2.27 -30.0 -3.32 -3.65 -2.42 
-2.53 -1.84 -2.25 -3.2 -2.11 -2.27 -2.97 -2.48 -2.33 -2.95 -30.0 -2.98 -2.62 -2.62 -2.36 -2.56 -2.54 -3.05 -3.0 -30.0 
-1.94 -1.8 -1.5 -2.48 -1.63 -1.64 -2.14 -1.7 -1.49 -2.08 -1.84 -2.33 -1.89 -1.89 -1.83 -1.92 -1.98 -1.98 -2.03 -1.67 
-2.43 -1.91 -2.03 -3.61 -1.79 -2.1 -2.34 -2.29 -2.08 -2.6 -30.0 -2.79 -2.4 -2.4 -2.52 -2.17 -30.0 -2.22 -2.12 -2.02 
-3.03 -1.67 -3.0 -3.0 -2.51 -2.93 -3.6 -3.12 -3.02 -3.87 -30.0 -4.16 -3.41 -3.4 -3.08 -3.54 -30.0 -3.98 -4.38 -3.02 
-3.23 -2.25 -2.17 -3.63 -2.36 -2.3 -2.55 -2.42 -2.01 -2.81 -30.0 -3.08 -2.56 -2.55 -1.94 -2.49 -30.0 -2.39 -1.99 -1.62 
-3.43 -2.33 -2.39 -3.77 -2.38 -2.59 -3.01 -2.85 -2.68 -3.22 -30.0 -3.5 -2.87 -2.85 -2.99 -2.85 -30.0 -3.44 -3.15 -2.76 
-2.58 -2.1 -1.97 -3.3 -1.78 -2.1 -2.52 -2.32 -2.22 -2.7 -2.23 -2.82 -2.38 -2.37 -2.31 -2.33 -2.21 -2.73 -3.06 -2.62 
-3.13 -3.43 -3.42 -4.33 -2.79 -3.14 -3.77 -3.07 -3.51 -4.01 -30.0 -3.41 -3.48 -3.47 -3.38 -3.33 -30.0 -3.95 -4.62 -2.82 
-3.9 -2.77 -2.72 -3.55 -2.54 -2.96 -3.32 -3.06 -3.05 -3.65 -3.06 -3.82 -3.35 -3.37 -3.4 -3.18 -2.97 -3.63 -3.7 -3.31 
-2.65 -2.5 -2.22 -3.7 -2.38 -2.23 -2.72 -2.36 -2.25 -2.62 -2.04 -2.85 -2.53 -2.52 -2.21 -2.45 -2.43 -3.02 -3.12 -2.52 
-2.71 -2.01 -2.21 -2.74 -2.29 -2.27 -2.67 -2.63 -2.28 -2.69 -30.0 -2.81 -2.63 -2.61 -2.3 -2.47 -30.0 -2.52 -2.81 -1.62 
-2.3 -2.19 -2.14 -30.0 -1.5 -2.2 -2.97 -2.25 -2.29 -2.73 -2.34 -2.62 -2.55 -2.53 -2.74 -2.76 -30.0 -2.47 -1.92 -30.0 
