[Fe/H] err  [O/H]  err
-0.38  0.05 -0.29  0.01
-0.12  0.05 -0.01  0.01
-0.42  0.04 -0.20  0.01
 0.11  0.04  0.14  0.01
-0.58  0.08 -0.27  0.04
-0.06  0.04 -0.14  0.01
-0.32  0.06 -0.12  0.01
-0.19  0.05 -0.14  0.01
-0.12  0.04 -0.08  0.04
-0.31  0.04 -0.21  0.01
 0.36  0.05  0.33  0.03
 0.27  0.04  0.20  0.04
 0.09  0.02  0.04  0.02
 0.17  0.05  0.17  0.03
-0.27  0.04 -0.15  0.02
 0.02  0.06  0.06  0.01
-0.02  0.03  0.00  0.02
-0.19  0.05 -0.08  0.05
-0.24  0.03 -0.10  0.02
 0.05  0.03  0.03  0.03
-0.02  0.02  0.07  0.01
 0.01  0.03  0.03  0.01
-0.57  0.06 -0.14  0.02
-0.06  0.04 -0.05  0.03
 0.01  0.07 -0.01  0.02
-0.50  0.05 -0.19  0.01
 0.03  0.03 -0.01  0.01
 0.03  0.05  0.07  0.02
-0.23  0.04 -0.15  0.01
-0.37  0.04 -0.02  0.01
-0.10  0.03  0.01  0.02
-0.52  0.06 -0.18  0.02
-0.57  0.06 -0.08  0.04
-0.16  0.04 -0.18  0.03
-0.36  0.07 -0.22  0.01
-0.23  0.05 -0.20  0.05
-0.06  0.03  0.01  0.01
 0.11  0.10  0.09  0.04
 0.17  0.05  0.11  0.05
-0.27  0.07 -0.04  0.14
-0.23  0.05 -0.01  0.06
 0.11  0.07  0.10  0.02
 0.10  0.04  0.01  0.01
-0.35  0.06 -0.09  0.01
-0.83  0.07 -0.56  0.03
-0.53  0.10 -0.33  0.01
-0.60  0.06 -0.29  0.04
-0.20  0.05  0.00  0.03
-0.73  0.04 -0.31  0.01
-0.45  0.05 -0.35  0.02
-0.09  0.05  0.01  0.02
-0.38  0.05 -0.23  0.01
-0.37  0.07 -0.28  0.01
 0.02  0.06  0.08  0.02
-0.08  0.08  0.12  0.01
 0.06  0.04  0.10  0.01
-0.09  0.03 -0.07  0.04
-0.40  0.07 -0.11  0.02
-0.04  0.05 -0.03  0.02
-0.87  0.17 -0.88  0.01
-0.54  0.05 -0.18  0.03
-0.19  0.05 -0.04  0.01
-0.03  0.05 -0.02  0.01
-0.84  0.05 -0.38  0.02
-0.02  0.06  0.04  0.01
-0.40  0.05 -0.09  0.05
-0.62  0.06 -0.29  0.03
 0.18  0.08  0.21  0.02
 0.25  0.07  0.26  0.03
-0.62  0.03 -0.26  0.04
-0.42  0.05 -0.07  0.03
-0.28  0.03 -0.03  0.01
-1.83  0.06 -1.46  0.09
-0.09  0.05 -0.11  0.01
 0.08  0.04  0.08  0.01
 0.06  0.06  0.31  0.10
 0.17  0.05  0.20  0.02
-0.30  0.05 -0.12  0.01
-0.78  0.06 -0.59  0.02
 0.00  0.04  0.10  0.01
-0.05  0.04  0.08  0.02
-0.24  0.05 -0.08  0.03
-0.25  0.05 -0.11  0.01
-0.15  0.05  0.09  0.11
-0.16  0.03 -0.19  0.06
-0.73  0.07 -0.45  0.04
 0.00  0.04  0.11  0.01
-0.38  0.06  0.00  0.02
-0.41  0.07 -0.25  0.02
-0.46  0.07 -0.19  0.02
-1.21  0.12 -0.62  0.05
-0.51  0.06 -0.17  0.01
 0.02  0.05 -0.09  0.02
-0.06  0.07  0.09  0.01
-0.31  0.07 -0.17  0.02
 0.33  0.08  0.21  0.03
-0.43  0.05 -0.26  0.02
-0.09  0.03 -0.04  0.01
-0.21  0.05 -0.07  0.01
-0.83  0.06 -0.42  0.01
-0.10  0.04 -0.03  0.01
 0.09  0.05  0.24  0.02
-0.41  0.03 -0.15  0.03
-0.09  0.06  0.10  0.02
-0.26  0.04 -0.16  0.01
-0.95  0.05 -0.32  0.02
-0.73  0.04 -0.23  0.02
-0.04  0.03 -0.05  0.01
-0.61  0.05 -0.29  0.02
-0.34  0.05 -0.29  0.01
-0.15  0.07  0.07  0.03
 0.02  0.05  0.19  0.10
-0.34  0.04 -0.19  0.02
-0.10  0.07 -0.02  0.04
 0.15  0.05  0.21  0.04
-0.28  0.06 -0.02  0.02
-0.14  0.05  0.11  0.04
-0.33  0.04 -0.02  0.02
-0.67  0.07 -0.47  0.03
-0.11  0.05  0.02  0.03
 0.12  0.03  0.13  0.01
-0.48  0.04 -0.35  0.01
-0.30  0.07 -0.06  0.03
-0.27  0.09 -0.31  0.04
-0.55  0.04 -0.19  0.02
 0.16  0.06  0.14  0.01
 0.02  0.06  0.09  0.01
-0.33  0.05  0.07  0.02
-0.22  0.04 -0.06  0.03
-0.42  0.08 -0.47  0.05
 0.00  0.03  0.00  0.01
 0.20  0.05  0.14  0.01
-0.36  0.04 -0.03  0.01
 0.00  0.08  0.08  0.01
-0.04  0.11 -0.03  0.11
-0.38  0.04 -0.11  0.02
-0.51  0.04 -0.15  0.01
-0.33  0.05  0.02  0.05
 0.19  0.08  0.53  0.13
-0.17  0.08 -0.03  0.03
-0.22  0.04 -0.02  0.02
 0.11  0.05  0.10  0.02
-0.64  0.08 -0.35  0.02
-0.33  0.06 -0.19  0.03
-0.97  0.07 -0.68  0.06
-0.44  0.04 -0.13  0.01
 0.24  0.04  0.18  0.04
 0.05  0.04  0.08  0.01
 0.09  0.03  0.15  0.01
-0.57  0.07 -0.17  0.02
-0.47  0.05  0.03  0.02
-0.11  0.03 -0.01  0.01
 0.08  0.03  0.05  0.01
-0.17  0.06 -0.18  0.01
-0.25  0.04  0.06  0.04
-0.02  0.04  0.03  0.01
-0.42  0.05 -0.26  0.02
 0.00  0.04 -0.04  0.05
-0.12  0.04 -0.04  0.01
 0.13  0.04  0.12  0.03
-0.71  0.08 -0.43  0.02
-0.07  0.03 -0.04  0.01
-0.64  0.06 -0.29  0.02
 0.08  0.07  0.15  0.02
 0.07  0.05  0.14  0.01
-0.38  0.07 -0.10  0.02
-0.09  0.07 -0.03  0.02
-0.84  0.07 -0.41  0.02
-0.04  0.07  0.15  0.04
-0.07  0.03  0.02  0.02
-0.04  0.04 -0.02  0.01
-0.16  0.04  0.04  0.01
-0.10  0.10  0.33  0.07
-0.27  0.07  0.06  0.04
-0.43  0.07 -0.05  0.02
-0.20  0.03 -0.19  0.03
-0.96  0.07 -0.60  0.07
-0.55  0.04 -0.43  0.03
 0.04  0.04  0.04  0.01
-0.18  0.05  0.08  0.01
-0.62  0.07 -0.31  0.03
 0.11  0.05  0.09  0.04
-0.08  0.04 -0.08  0.01
 0.03  0.04  0.04  0.01
-0.19  0.05 -0.09  0.01
-0.09  0.04 -0.13  0.01
-0.80  0.07 -0.45  0.01
-0.15  0.10  0.11  0.05
-0.62  0.05 -0.44  0.01
 0.06  0.05  0.19  0.05
-0.42  0.06 -0.29  0.02
 0.08  0.03  0.10  0.03
-0.40  0.08 -0.23  0.02
-0.42  0.04 -0.15  0.02
 0.00  0.04  0.06  0.01
 0.07  0.05  0.02  0.03
-0.10  0.06 -0.09  0.01
-0.58  0.06 -0.20  0.01
-0.11  0.04 -0.08  0.01
-0.15  0.07 -0.02  0.01
-0.43  0.05 -0.07  0.01
-0.54  0.04 -0.20  0.03
-0.18  0.03  0.07  0.01
 0.02  0.04  0.09  0.01
-0.22  0.05 -0.08  0.02
-0.04  0.06  0.01  0.04
-0.23  0.10  0.06  0.02
-0.10  0.04  0.03  0.02
-0.35  0.07  0.02  0.02
 0.03  0.03  0.05  0.01
-0.28  0.06 -0.18  0.03
-0.15  0.04 -0.03  0.01
-0.07  0.04 -0.04  0.01
-0.78  0.07 -0.50  0.03
-0.08  0.04  0.01  0.01
 0.17  0.05  0.19  0.05
-0.46  0.04 -0.22  0.04
-0.02  0.06  0.10  0.01
-0.09  0.05  0.03  0.01
 0.00  0.05  0.11  0.03
-0.33  0.04 -0.21  0.03
-0.66  0.05 -0.36  0.02
 0.05  0.07  0.19  0.08
-0.86  0.06 -0.30  0.01
 0.20  0.08  0.22  0.06
 0.01  0.03  0.07  0.02
-0.37  0.05 -0.23  0.01
-0.01  0.05  0.05  0.04
 0.04  0.05  0.02  0.01
-0.54  0.07 -0.36  0.02
-0.86  0.07 -0.24  0.04
-0.71  0.09 -0.37  0.05
-0.22  0.10  0.01  0.03
-0.67  0.04 -0.19  0.06
 0.26  0.04  0.27  0.01
-0.59  0.04 -0.21  0.02
-0.37  0.04 -0.29  0.01
 0.11  0.04  0.10  0.04
-0.29  0.03 -0.12  0.01
-0.84  0.10 -0.50  0.05
-0.30  0.07 -0.26  0.01
-0.09  0.04 -0.05  0.02
-0.46  0.04 -0.02  0.01
-0.56  0.05 -0.20  0.04
-0.29  0.05 -0.24  0.04
-0.02  0.04 -0.04  0.02
-0.13  0.02 -0.15  0.01
-0.26  0.05 -0.21  0.02
-0.01  0.06 -0.01  0.06
 0.02  0.03  0.04  0.01
-0.05  0.04 -0.04  0.01
-0.36  0.06 -0.24  0.04
-0.23  0.05 -0.15  0.01
-0.02  0.09 -0.02  0.01
 0.04  0.04  0.03  0.03
-0.01  0.03  0.02  0.02
-0.65  0.05 -0.18  0.01
-0.01  0.07  0.20  0.04
-0.45  0.05 -0.22  0.03
 0.39  0.06  0.38  0.06
-0.72  0.07 -0.48  0.04
 0.19  0.05  0.24  0.02
 0.09  0.04  0.13  0.01
-0.18  0.07  0.21  0.03
-0.41  0.05 -0.26  0.02
-0.39  0.04 -0.24  0.01
-0.83  0.07 -0.48  0.01
-0.28  0.05 -0.18  0.01
-0.15  0.06  0.07  0.02
-0.78  0.06 -0.43  0.04
-0.32  0.06 -0.22  0.01
-0.30  0.04 -0.26  0.01
-0.43  0.04 -0.13  0.01
-0.25  0.03  0.06  0.02
-0.03  0.03 -0.03  0.03
 0.05  0.04  0.00  0.04
-0.31  0.05 -0.08  0.01
 0.05  0.05  0.02  0.04
-0.47  0.04 -0.06  0.01
-0.10  0.03 -0.12  0.01
 0.19  0.03  0.24  0.01
-0.19  0.04 -0.15  0.01
 0.28  0.06  0.23  0.01
-0.33  0.07 -0.12  0.04
-0.34  0.04 -0.12  0.01
-0.49  0.08  0.02  0.01
 0.09  0.04  0.14  0.02
-2.02  0.08 -1.47  0.04
-0.53  0.05 -0.20  0.04
 0.00  0.06  0.09  0.01
-0.54  0.05 -0.22  0.01
-0.32  0.09 -0.26  0.03
-0.39  0.05 -0.21  0.01
-0.15  0.06  0.20  0.01
-0.25  0.07 -0.22  0.01
-0.05  0.03  0.09  0.02
-0.44  0.04 -0.30  0.01
-0.15  0.04 -0.03  0.03
-0.22  0.04 -0.12  0.01
 0.00  0.03  0.02  0.02
-0.63  0.18 -0.81  0.05
-0.32  0.07 -0.01  0.05
-0.01  0.07  0.08  0.02
-0.14  0.03 -0.08  0.01
-0.45  0.04 -0.27  0.01
-0.45  0.06 -0.20  0.01
 0.03  0.03  0.02  0.02
-0.37  0.07 -0.09  0.01
-0.29  0.05 -0.11  0.03
-0.08  0.04 -0.10  0.01
-0.91  0.07 -0.60  0.01
-0.29  0.05 -0.22  0.01
-0.29  0.06 -0.23  0.02
-0.02  0.05  0.00  0.03
 0.10  0.04  0.09  0.01
-0.10  0.03 -0.06  0.01
 0.04  0.03  0.03  0.01
-0.17  0.04 -0.01  0.03
-0.10  0.08  0.12  0.02
-0.61  0.06 -0.28  0.03
-0.13  0.06  0.02  0.05
-1.85  0.12 -1.46  0.04
 0.04  0.03  0.07  0.01
-0.46  0.05 -0.28  0.02
-0.11  0.06  0.08  0.11
 0.32  0.05  0.26  0.02
 0.10  0.04  0.19  0.01
 0.02  0.03  0.03  0.01
-0.38  0.04 -0.18  0.02
-0.04  0.04  0.06  0.04
-0.35  0.06 -0.19  0.01
-0.45  0.06 -0.21  0.03
-0.13  0.05  0.00  0.02
 0.03  0.04  0.07  0.04
 0.02  0.05  0.19  0.01
 0.05  0.04  0.17  0.01
-0.01  0.03  0.11  0.03
-0.85  0.08 -0.59  0.02
-0.19  0.05 -0.05  0.01
-0.57  0.04 -0.41  0.01
-0.37  0.06 -0.19  0.02
-0.37  0.06 -0.18  0.01
-0.33  0.06 -0.27  0.02
-0.46  0.05 -0.30  0.01
-0.37  0.05 -0.24  0.03
-0.01  0.03  0.00  0.02
-0.10  0.04  0.02  0.02
-0.05  0.05  0.01  0.01
-0.45  0.06 -0.30  0.01
-0.13  0.05 -0.05  0.01
-0.36  0.04 -0.21  0.01
-0.42  0.05 -0.11  0.01
-0.29  0.04 -0.11  0.01
-1.19  0.07 -1.00  0.05
 0.22  0.08  0.26  0.01
-0.29  0.05 -0.15  0.01
 0.11  0.04  0.12  0.01
-1.27  0.07 -0.77  0.06
 0.08  0.04  0.08  0.02
 0.09  0.04  0.00  0.02
-0.65  0.10 -0.55  0.02
-0.25  0.05 -0.21  0.01
 0.26  0.07  0.32  0.02
-0.75  0.04 -0.41  0.01
-0.22  0.05 -0.05  0.04
-0.73  0.05 -0.22  0.04
 0.11  0.04  0.17  0.03
 0.16  0.04  0.14  0.01
-0.13  0.04  0.06  0.04
-0.44  0.04 -0.23  0.01
-0.73  0.05 -0.30  0.01
-0.39  0.05 -0.25  0.01
-0.64  0.05 -0.28  0.02
 0.07  0.03  0.05  0.02
-0.60  0.09 -0.21  0.07
 0.01  0.05  0.04  0.04
-0.33  0.05 -0.18  0.02
-2.42  0.11 -0.78  0.32
-0.55  0.06 -0.21  0.03
 0.26  0.05  0.23  0.02
-0.39  0.06 -0.19  0.02
-0.60  0.06 -0.46  0.01
-0.10  0.07  0.09  0.01
-0.01  0.04  0.03  0.01
-0.22  0.04 -0.13  0.01
 0.11  0.05  0.22  0.01
-0.45  0.04 -0.10  0.03
-0.71  0.06 -0.17  0.01
 0.10  0.03  0.08  0.02
 0.07  0.04  0.10  0.01
-0.34  0.06 -0.30  0.01
-0.51  0.04 -0.15  0.01
-0.17  0.05  0.02  0.05
 0.11  0.04  0.13  0.01
-0.56  0.05 -0.30  0.02
 0.02  0.04  0.06  0.01
 0.01  0.04  0.08  0.01
-1.07  0.07 -0.63  0.01
 0.10  0.04  0.14  0.02
-0.35  0.05 -0.17  0.02
-0.38  0.05 -0.19  0.01
 0.12  0.04  0.15  0.01
-0.14  0.06 -0.14  0.03
 0.05  0.04  0.06  0.03
-0.23  0.10 -0.12  0.04
-0.30  0.04 -0.14  0.03
 0.04  0.07  0.04  0.03
 0.06  0.03  0.00  0.01
-0.21  0.07 -0.05  0.02
-0.71  0.06 -0.33  0.01
 0.12  0.04  0.10  0.03
-0.29  0.08 -0.17  0.03
-0.11  0.03  0.03  0.01
 0.11  0.05  0.20  0.04
-0.07  0.03 -0.04  0.01
-0.16  0.06  0.00  0.02
-0.02  0.04  0.00  0.01
 0.20  0.06  0.29  0.01
-0.29  0.06 -0.12  0.01
 0.02  0.04  0.06  0.01
-0.07  0.03  0.09  0.03
-0.28  0.07 -0.08  0.04
-0.37  0.06 -0.22  0.02
-0.57  0.04 -0.27  0.01
-0.42  0.04 -0.26  0.02
 0.00  0.05  0.12  0.02
-0.20  0.06 -0.11  0.01
-0.07  0.04  0.05  0.01
-0.07  0.07  0.44  0.06
 0.26  0.10  0.28  0.01
-0.39  0.05 -0.27  0.02
-0.20  0.05  0.04  0.01
 0.11  0.06  0.34  0.12
-2.71  0.11 -3.83  1.48
-0.02  0.03 -0.02  0.01
-0.59  0.10 -0.36  0.06
-0.27  0.04 -0.05  0.02
-0.60  0.08  0.07  0.11
-0.23  0.11 -0.02  0.01
 0.28  0.08  0.55  0.12
-0.36  0.04 -0.23  0.01
-0.45  0.06 -0.11  0.02
-0.60  0.05 -0.26  0.01
-1.09  0.04 -0.59  0.02
-0.35  0.07  0.02  0.03
-0.41  0.04 -0.25  0.01
-0.08  0.04  0.04  0.02
-0.41  0.07 -0.24  0.02
-0.17  0.11  0.04  0.04
 0.27  0.06  0.20  0.08
 0.23  0.05  0.22  0.03
-0.15  0.03 -0.03  0.02
-0.11  0.05 -0.09  0.03
-0.43  0.05 -0.06  0.01
-0.17  0.10 -0.06  0.05
-0.18  0.03  0.07  0.01
-0.15  0.05  0.03  0.01
-0.65  0.03 -0.15  0.05
-0.38  0.05 -0.29  0.01
 0.04  0.06  0.08  0.06
-0.40  0.05 -0.09  0.06
 0.05  0.04  0.11  0.05
-1.44  0.09 -1.03  0.04
-0.47  0.05 -0.16  0.01
-0.24  0.04 -0.19  0.01
-0.43  0.05 -0.19  0.05
 0.02  0.03  0.04  0.03
-0.75  0.06 -0.37  0.02
-0.73  0.05 -0.47  0.02
-0.79  0.06 -0.40  0.01
-0.19  0.07  0.01  0.02
 0.06  0.02  0.07  0.02
-0.08  0.06 -0.06  0.02
-0.52  0.04 -0.20  0.02
-0.32  0.06 -0.13  0.02
-0.02  0.05  0.04  0.03
-0.29  0.04  0.01  0.01
-0.36  0.04 -0.14  0.02
-0.05  0.06  0.07  0.02
-0.49  0.05 -0.26  0.01
-0.01  0.07  0.14  0.02
-0.18  0.04 -0.05  0.02
-0.21  0.03  0.03  0.01
-0.30  0.03 -0.15  0.02
-2.30  0.12 -1.58  0.05
 0.02  0.05  0.10  0.04
-0.24  0.05 -0.03  0.02
-0.01  0.04  0.03  0.01
 0.09  0.04  0.13  0.02
-0.28  0.07  0.04  0.02
 0.10  0.06  0.24  0.07
-0.09  0.05  0.02  0.02
 0.28  0.05  0.27  0.05
-0.19  0.07 -0.08  0.02
-1.26  0.10 -0.96  0.02
-0.09  0.04 -0.01  0.01
-0.39  0.17  0.01  0.04
-0.64  0.06 -0.25  0.01
-0.10  0.03  0.09  0.01
-0.33  0.04 -0.03  0.05
-0.15  0.04  0.03  0.01
 0.09  0.02  0.05  0.02
-0.22  0.06 -0.06  0.02
-0.63  0.05 -0.22  0.02
 0.02  0.04  0.05  0.02
-0.40  0.07 -0.07  0.01
-0.56  0.05 -0.06  0.01
-0.33  0.05 -0.22  0.01
 0.03  0.04  0.07  0.03
-0.08  0.04  0.04  0.04
 0.22  0.06  0.23  0.03
-0.29  0.05 -0.20  0.05
-0.20  0.05 -0.10  0.01
-0.72  0.06 -0.40  0.02
-0.23  0.09 -0.14  0.03
 0.01  0.07  0.10  0.02
-0.26  0.06 -0.18  0.01
-0.43  0.07 -0.14  0.05
-0.05  0.03 -0.01  0.02
 0.01  0.06  0.09  0.01
-0.36  0.04 -0.03  0.01
 0.02  0.04  0.05  0.01
 0.11  0.05  0.19  0.01
 0.11  0.07  0.18  0.05
 0.12  0.04  0.13  0.03
 0.11  0.04  0.17  0.01
-0.03  0.04  0.03  0.01
 0.18  0.05  0.20  0.02
 0.04  0.03  0.12  0.02
-0.17  0.04 -0.02  0.03
-0.09  0.07  0.13  0.02
-0.20  0.05 -0.07  0.02
-0.31  0.03 -0.19  0.03
-0.30  0.06  0.00  0.02
-0.03  0.04  0.01  0.02
-0.12  0.07  0.03  0.01
-0.25  0.04 -0.04  0.03
-0.34  0.07 -0.01  0.20
 0.21  0.04  0.27  0.01
 0.06  0.06  0.18  0.05
-0.10  0.06  0.00  0.01
-0.32  0.05 -0.10  0.06
-0.27  0.05  0.15  0.02
-0.47  0.07 -0.04  0.04
-0.14  0.05 -0.06  0.01
-0.39  0.04 -0.07  0.01
-0.41  0.04 -0.26  0.01
 0.06  0.04 -0.05  0.02
 0.03  0.06  0.23  0.03
-0.42  0.06 -0.28  0.04
-0.52  0.05 -0.09  0.02
-0.36  0.05 -0.15  0.01
-0.18  0.05  0.00  0.01
-0.38  0.05 -0.08  0.05
-0.54  0.06 -0.34  0.01
-0.18  0.08  0.03  0.01
-0.11  0.06  0.10  0.01
-0.74  0.05 -0.26  0.01
-0.01  0.05  0.06  0.01
-0.16  0.08  0.07  0.03
-0.77  0.09 -0.74  0.02
-0.35  0.05 -0.28  0.02
-0.08  0.08  0.27  0.04
-0.48  0.05 -0.24  0.01
-0.30  0.04 -0.08  0.03
 0.27  0.05  0.32  0.03
-0.44  0.04 -0.11  0.02
 0.22  0.07  0.28  0.02
-0.12  0.03  0.00  0.02
-0.35  0.06 -0.05  0.04
-0.18  0.05 -0.08  0.03
-0.04  0.08  0.11  0.01
-1.12  0.07 -0.63  0.02
-0.70  0.07 -0.47  0.02
-0.68  0.06 -0.30  0.02
-0.11  0.03 -0.07  0.03
-0.19  0.03 -0.02  0.02
 0.07  0.06  0.04  0.04
-0.58  0.05 -0.41  0.02
-0.06  0.08  0.04  0.05
 0.02  0.12  0.02  0.03
-0.20  0.04 -0.01  0.02
-0.24  0.04 -0.17  0.01
-0.39  0.06 -0.18  0.01
-0.09  0.03 -0.01  0.01
 0.00  0.04  0.05  0.02
-0.21  0.05  0.03  0.02
-0.58  0.08 -0.53  0.02
-0.24  0.04 -0.11  0.02
-0.17  0.06 -0.02  0.01
-0.02  0.05  0.14  0.01
 0.14  0.06  0.14  0.01
-0.40  0.05 -0.07  0.03
-0.16  0.05 -0.02  0.01
-0.16  0.04 -0.15  0.01
-0.46  0.06 -0.28  0.04
-0.35  0.06 -0.16  0.02
-0.31  0.05 -0.18  0.01
-0.24  0.04 -0.20  0.02
-0.01  0.05 -0.08  0.02
 0.09  0.03  0.11  0.01
-0.38  0.05 -0.28  0.01
-0.23  0.05  0.02  0.02
-0.04  0.04  0.01  0.03
-0.67  0.06 -0.21  0.01
-0.24  0.07  0.02  0.02
-0.92  0.08 -0.72  0.02
 0.09  0.06  0.15  0.04
-0.03  0.08  0.10  0.06
-0.50  0.06 -0.35  0.02
-0.80  0.06 -0.51  0.01
-0.18  0.06 -0.14  0.07
-0.27  0.06 -0.04  0.04
-0.51  0.06 -0.13  0.01
 0.04  0.02  0.08  0.02
-0.27  0.06 -0.12  0.01
 0.05  0.04  0.08  0.01
-0.37  0.04 -0.24  0.01
 0.03  0.04  0.01  0.03
-0.18  0.04  0.24  0.03
 0.12  0.04  0.16  0.02
-1.41  0.05 -1.09  0.05
-0.19  0.05 -0.06  0.02
-0.13  0.06 -0.13  0.01
-1.08  0.06 -0.78  0.01
-0.60  0.03 -0.18  0.04
 0.05  0.05  0.02  0.02
 0.09  0.04  0.12  0.02
-0.03  0.04 -0.01  0.01
-0.09  0.06  0.11  0.02
 0.33  0.07  0.40  0.03
-0.20  0.06 -0.11  0.02
-0.45  0.05 -0.30  0.02
-0.52  0.05 -0.12  0.05
-0.31  0.06 -0.12  0.02
 0.06  0.06  0.16  0.02
-0.13  0.04 -0.11  0.01
-0.94  0.09 -0.71  0.03
-0.43  0.06 -0.24  0.01
-0.04  0.03 -0.04  0.02
-0.03  0.05  0.14  0.03
-0.17  0.04 -0.05  0.01
 0.09  0.07  0.31  0.01
-0.02  0.02  0.01  0.03
-0.50  0.04 -0.34  0.03
-0.16  0.05 -0.04  0.03
-0.28  0.04 -0.07  0.01
-0.48  0.05 -0.34  0.01
-0.11  0.06 -0.06  0.01
-0.32  0.05 -0.16  0.03
-0.23  0.08 -0.11  0.04
-0.63  0.05 -0.42  0.01
-0.59  0.07 -0.32  0.05
-0.25  0.06 -0.16  0.01
-0.17  0.03 -0.12  0.03
-0.50  0.06 -0.30  0.01
-0.40  0.05 -0.19  0.01
-1.01  0.08 -0.70  0.02
-0.79  0.05 -0.33  0.02
-0.24  0.06 -0.19  0.03
 0.05  0.03  0.09  0.01
-0.75  0.05 -0.39  0.02
-0.59  0.05 -0.34  0.01
-0.66  0.05 -0.48  0.03
-0.32  0.06  0.01  0.01
-0.36  0.06 -0.21  0.02
-0.17  0.03  0.00  0.04
-0.45  0.04 -0.29  0.02
 0.01  0.04  0.15  0.02
-0.39  0.04 -0.15  0.01
-0.42  0.06 -0.06  0.03
-1.15  0.06 -0.73  0.01
-0.06  0.07  0.00  0.01
-0.56  0.05 -0.37  0.02
 0.18  0.06  0.23  0.03
-0.71  0.04 -0.49  0.01
-0.18  0.11  0.12  0.07
 0.09  0.04  0.05  0.02
-0.12  0.05  0.04  0.02
-0.19  0.07  0.02  0.04
 0.02  0.03  0.11  0.02
-0.79  0.04 -0.26  0.02
-0.23  0.04 -0.08  0.01
-0.16  0.08 -0.08  0.02
-0.09  0.04 -0.02  0.02
-0.37  0.06 -0.24  0.01
-0.26  0.04 -0.10  0.04
-0.23  0.05  0.06  0.03
-0.12  0.04 -0.03  0.02
-0.11  0.04 -0.10  0.01
-0.28  0.06 -0.31  0.04
-0.20  0.05 -0.04  0.04
-0.62  0.07 -0.33  0.04
 0.12  0.05  0.17  0.03
 0.06  0.02  0.08  0.01
-0.33  0.07 -0.27  0.02
-0.29  0.05 -0.17  0.01
-0.19  0.07 -0.11  0.01
-0.25  0.05 -0.05  0.03
 0.10  0.04  0.06  0.03
-0.94  0.06 -0.49  0.01
-0.01  0.06  0.00  0.02
-0.37  0.05 -0.26  0.04
-0.26  0.06 -0.06  0.01
-0.16  0.06 -0.09  0.02
-0.05  0.06 -0.01  0.01
-0.35  0.04 -0.07  0.02
-0.99  0.08 -0.66  0.08
-0.25  0.04 -0.13  0.01
 0.07  0.07  0.02  0.01
-0.52  0.07 -0.40  0.01
-0.47  0.06 -0.23  0.01
-0.15  0.06  0.03  0.01
-0.17  0.04  0.11  0.04
-0.36  0.07 -0.02  0.04
-0.33  0.06 -0.13  0.02
-0.68  0.05 -0.27  0.02
-0.22  0.06 -0.15  0.01
 0.19  0.04  0.12  0.03
-0.42  0.06 -0.28  0.01
 0.19  0.04  0.19  0.02
-0.59  0.05 -0.18  0.01
-0.10  0.05 -0.10  0.02
-0.30  0.06 -0.17  0.01
-0.21  0.05 -0.06  0.01
-0.09  0.05 -0.03  0.02
-0.27  0.04 -0.24  0.01
