[Fe/H] [C/Fe] [N/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [Ca/Fe] [Sc/Fe] [Ti/Fe] [TiII/Fe] [Cr/Fe] [Mn/Fe] [FeII/Fe] [Co/Fe] [Ni/Fe] [Sr/Fe] [Ba/Fe]
-3.46   0.84  -30.0  1.17  0.87  0.14  0.50  0.22 -30.0  0.17  0.18 -0.38 -0.59 -3.33  0.30  0.05 -0.38 -0.71
-3.05  -30.0  -30.0 -30.0 -0.02 -0.89 -30.0  0.15  0.21 -30.0  0.14 -0.21 -30.0 -30.0 -30.0 -30.0 -0.97 -30.0
-2.52   2.10   1.61  0.73  0.40 -30.0 -30.0  0.41 -30.0  0.55  0.50  0.07 -30.0 -2.39 -30.0 -30.0 -30.0  1.99
-2.95   2.38  -30.0  0.61  0.54  0.10  0.50  0.43 -30.0  0.22  0.31  0.09 -30.0 -2.87 -0.07  0.21  0.33  1.73
-3.57  -30.0  -30.0 -30.0  0.05 -0.59  0.05  0.11  0.54 -30.0  0.57 -0.10 -30.0 -30.0 -30.0 -30.0 -0.38 -30.0
-3.75   1.88  -30.0 -30.0  0.26 -30.0  0.35  0.39 -30.0 -30.0  0.57 -0.01 -30.0 -30.0 -30.0  0.49 -0.58  0.40
-3.75   1.98  -30.0 -30.0  0.26 -30.0  0.34  0.39 -30.0 -30.0  0.38  0.00 -30.0 -30.0 -30.0  0.49 -0.75  0.24
-3.10   1.64  -30.0  0.01  0.39 -0.64  0.02  0.42  0.27 -30.0  0.65 -0.02 -30.0 -30.0 -30.0 -30.0  0.04 -0.10
-2.56   0.56  -30.0 -30.0 -0.15 -30.0 -30.0  0.00 -0.11  0.28  0.09 -30.0 -30.0 -2.56 -0.10 -0.34  0.21 -0.40
-3.48   0.31   0.27 -0.19  0.09 -0.90 -30.0  0.20  0.08  0.17  0.12 -0.44 -30.0 -3.46  0.29  0.09 -0.95 -1.29
-3.30  -30.0  -30.0 -30.0  0.33 -0.69  0.29  0.29  0.24 -30.0  0.20 -0.14 -30.0 -3.48 -30.0 -30.0 -1.20 -30.0
-3.01   1.64  -30.0 -0.17  0.25 -0.61  0.07  0.58  0.58 -30.0  0.62 -0.08 -30.0 -30.0  0.44  0.13  0.41  0.33
-3.54   0.40   0.80 -30.0  0.34 -0.73  0.58  0.38  0.35 -30.0  0.44 -0.30 -0.83 -3.44  0.47  0.11 -0.68 -0.51
-2.99   0.37  -0.38 -30.0  0.47 -0.78 -30.0  0.48  0.03  0.30  0.26 -0.27 -0.37 -3.05  0.13  0.13  0.24  0.38
-2.95  -30.0  -30.0 -30.0  0.49 -0.41  0.24  0.10  0.44 -30.0  0.30 -0.22 -0.62 -2.93  0.65  0.03 -1.48 -1.55
-3.58   0.25   0.24 -0.24  0.21 -0.72 -30.0  0.02  0.08  0.14  0.02 -0.46 -30.0 -3.56  0.47  0.27 -1.80 -1.77
-3.77   0.00   0.24 -0.28  0.15 -0.80 -30.0  0.24  0.00  0.37  0.26 -0.44 -30.0 -3.73  0.41 -0.10 -1.31 -1.17
-2.86   1.49  -30.0 -0.45  0.04 -0.86 -0.10  0.49  0.15 -30.0  0.36 -0.18 -30.0 -30.0 -30.0 -0.07 -0.57 -0.27
-2.60   2.25   1.60 -30.0  1.03  0.13 -30.0  0.42 -30.0  0.46  0.13 -0.18 -0.20 -30.0  0.13 -30.0  1.87  2.69
-3.41   2.14  -30.0 -30.0 -30.0 -30.0  0.10  0.28 -30.0 -30.0  0.89 -30.0 -30.0 -30.0 -30.0 -30.0  0.45  0.21
-3.41   2.34  -30.0 -30.0 -30.0 -30.0  0.20  0.74 -30.0 -30.0  0.95 -30.0 -30.0 -30.0 -30.0 -30.0  0.92  0.09
-1.68   1.14   2.75  0.45  0.28 -30.0 -30.0  0.12 -30.0  0.17  0.43  0.11 -30.0 -1.80 -30.0 -30.0 -30.0  1.85
-2.98   0.38  -30.0 -30.0  0.24 -30.0  0.10  0.42  0.27 -30.0  0.47 -0.07 -30.0 -2.96  0.47  0.08 -0.18 -30.0
-2.95  -0.24   1.02 -30.0 -0.04 -0.89 -30.0  0.13 -0.08 -0.07 -0.09 -0.46 -0.36 -2.91 -0.33 -0.27 -0.59 -1.19
-3.07  -0.54   0.98  0.48  0.32 -0.72 -30.0  0.36  0.28  0.36  0.50 -0.36 -30.0 -2.91  0.09  0.00 -0.12  0.02
-2.77   1.38   0.89  0.65  0.21 -30.0 -30.0  0.38 -30.0  0.37  0.32 -30.0 -30.0 -2.75 -30.0 -30.0 -30.0  1.20
-2.70   0.59   0.29 -30.0  0.15 -0.83  0.17  0.39  0.37  0.69  0.60 -0.07 -0.51 -2.61  0.35  0.06 -0.08 -0.42
-1.32   1.29   0.80  0.20  0.10 -30.0 -30.0  0.53 -30.0  0.40  0.02 -30.0 -30.0 -1.76 -30.0 -30.0 -30.0  1.56
-2.40  -30.0  -30.0 -30.0  0.34 -0.65  0.31  0.30  0.28  0.67  0.54 -0.21 -0.65 -2.50  0.30  0.09  0.48 -0.13
-4.81   1.65   1.93 -0.18  0.17 -0.65 -30.0  0.17 -30.0 -30.0  0.36 -0.69 -30.0 -30.0 -30.0 -0.17 -1.07  0.03
-2.96   1.39  -30.0 -30.0  0.23 -0.72 -0.05  0.34  0.30  1.03  0.39 -0.14 -0.38 -2.90 -30.0 -0.16 -1.08 -0.43
-2.98   2.82  -30.0  1.60  0.34 -30.0  1.50  0.56 -30.0 -30.0  0.38 -0.27 -30.0 -30.0  0.65  0.15  1.15  1.70
-2.68   2.72  -30.0  1.29  0.39 -30.0 -30.0  0.22 -30.0 -30.0  0.21 -0.21 -30.0 -2.67 -30.0  0.15  0.77  1.73
-3.77   1.70  -30.0 -30.0 -0.10 -30.0  2.00  0.26  0.15 -30.0  0.33 -0.24 -30.0 -30.0 -30.0 -30.0 -0.71  0.25
-3.78   1.81  -30.0 -30.0 -0.09 -30.0  2.00  0.26 -0.08 -30.0  0.09 -0.23 -30.0 -30.0 -30.0 -30.0 -0.93  0.04
-3.09   2.48   1.79  1.05  0.33 -30.0 -30.0  0.54 -30.0  0.49  0.31 -0.34 -30.0 -30.0 -30.0 -30.0 -30.0  1.17
-2.98  -0.51  -30.0 -30.0  0.28 -0.42 -30.0  0.25 -30.0  0.18  0.51 -0.30 -0.79 -3.07 -0.31 -0.07  0.17 -1.05
-3.47   2.22   1.25  1.93  1.85  0.65 -30.0  0.70 -30.0 -30.0  0.06 -0.24 -0.51 -30.0  0.23 -0.22 -0.37 -0.25
-3.25   0.21  -30.0 -30.0  0.24 -0.74 -30.0  0.33 -30.0  0.27  0.27 -30.0 -0.77 -3.19  0.18 -0.05  0.25 -1.12
-2.79   1.63   2.48 -30.0  0.48  0.66 -30.0  0.96 -30.0  0.33  1.13 -0.30  0.00 -3.02 -30.0 -30.0  0.52  1.61
-2.87   1.20  -30.0 -0.07  0.21 -0.66  0.46  0.40  0.24 -30.0  0.54 -0.23 -0.63 -2.96  0.40  0.13 -0.11 -0.39
-2.89   1.42  -30.0 -0.06  0.35 -0.67  0.50  0.44  0.04 -30.0  0.32 -0.23 -0.62 -3.19  0.41  0.11 -0.37 -0.57
-3.49   1.72   2.91 -0.23  0.07 -30.0  1.70  0.30  0.28 -30.0  0.40 -0.07 -30.0 -30.0 -30.0 -30.0 -0.07  0.16
-3.48   1.92   2.91 -0.23  0.08 -30.0  1.70  0.30  0.09 -30.0  0.21 -0.07 -30.0 -30.0 -30.0 -30.0 -0.25 -0.01
-3.44   1.77  -30.0 -0.16  0.25 -30.0  1.50  0.53  0.17 -30.0  0.45 -0.12 -30.0 -30.0 -30.0 -30.0 -0.18 -0.18
-3.53   1.66  -30.0 -0.13  0.21 -30.0  1.80  0.30  0.44 -30.0  0.45  0.05 -30.0 -30.0 -30.0 -30.0  0.44  0.05
-2.77   0.60   0.80 -30.0  0.28 -30.0  0.23  0.49  0.30  0.67  0.52 -0.12 -0.58 -2.78  0.30  0.10  0.26 -0.23
-2.84   1.57   2.51 -0.06  0.40 -0.57 -0.12  0.40  0.22 -30.0  0.52  0.01 -0.42 -2.64 -30.0  0.12  0.48  0.44
-3.47   2.37   2.52 -30.0  0.41 -30.0 -30.0  1.16 -30.0  0.59  0.73 -0.56 -30.0 -30.0 -30.0 -30.0 -0.12 -0.48
-3.86   1.14   1.23 -0.35  0.20 -0.73 -30.0  0.05  0.31 -30.0  0.33 -0.50 -0.59 -30.0  0.83  0.19 -0.87  0.05
-3.92   1.60   1.29 -0.32  0.28 -0.72 -30.0  0.07 -0.09 -30.0 -0.10 -0.48 -0.58 -30.0  0.82  0.15 -1.27 -0.34
-2.71   1.55  -30.0 -0.05 -0.07 -30.0 -0.34  0.45 -0.09 -30.0  0.18  0.04 -30.0 -1.76 -30.0 -0.18 -0.30 -0.18
-3.40  -0.07  -30.0 -30.0  0.11 -0.70 -30.0  0.16 -30.0  0.55  0.57 -0.13 -0.23 -3.18  0.19  0.21 -0.36 -1.83
-2.70  -0.27   0.42  0.54 -0.38 -1.19  0.16 -0.25 -0.55 -0.29 -0.31 -0.41 -0.35 -2.62 -0.31 -0.33 -0.38 -1.67
-2.93  -0.24   1.05  0.17  0.09 -0.79 -30.0  0.18 -30.0  0.00  0.23 -0.14 -0.74 -2.99 -0.20 -0.16 -0.04 -0.79
-3.16  -0.52  -30.0 -30.0  0.56 -0.46 -30.0  0.44 -30.0  0.27  0.36 -0.38 -0.37 -3.03  0.12  0.20 -1.57 -1.56
-3.51   0.34  -30.0 -30.0  0.44 -30.0  0.31  0.72  0.38  0.73  0.63 -0.09 -30.0 -3.58  0.38  0.07 -30.0 -1.00
-3.75   1.31   0.71 -0.02  0.33 -0.64 -30.0  0.39  0.30  0.62  0.36 -0.38 -0.76 -3.78  0.49  0.08 -1.36 -0.85
-3.34   0.99   0.32  0.03  0.30 -0.72 -30.0  0.34  0.01  0.52  0.40 -0.35 -0.78 -3.27  0.28  0.07  0.54 -0.41
-2.65  -0.41  -30.0 -30.0  0.05 -0.31 -30.0  0.22 -30.0  0.17  0.68  0.13 -0.70 -2.88 -0.09  0.28  0.26  0.14
-2.68  -30.0  -30.0 -30.0  0.36 -0.60  0.05  0.34  0.17 -30.0  0.43 -0.11 -0.50 -2.61  0.44  0.06 -0.46 -0.41
-2.22   1.45   0.46 -30.0  0.36 -30.0 -30.0  0.61 -30.0 -30.0  0.32 -30.0 -30.0 -2.12 -30.0 -30.0 -30.0  1.68
-3.69   0.52   0.86  0.09  0.40 -0.60  0.68  0.31  0.00  0.54  0.22 -0.34 -0.78 -3.62  0.29 -0.15 -0.37 -0.96
-5.76   4.26   4.56  2.48  1.55  1.23 -30.0  0.29 -30.0 -30.0  0.80 -30.0 -30.0 -30.0 -30.0 -30.0  1.04 -30.0
-3.80   0.40   0.45 -0.11  0.18 -0.74  0.46  0.33  0.26  0.50  0.36 -0.41 -0.70 -3.71  0.63  0.26 -1.58 -30.0
-2.84   0.29  -30.0 -30.0  0.14 -0.76 -30.0  0.25 -30.0  0.14  0.35  0.02 -0.71 -2.87  0.01  0.17 -0.16 -0.97
-3.57   1.10  -30.0 -0.15  0.25 -30.0  1.80  0.37  0.21  0.80  0.36 -0.22 -30.0 -30.0 -30.0 -30.0 -0.23  0.01
-3.58   1.31  -30.0 -0.14  0.28 -30.0  1.80  0.37 -0.04  0.80  0.11 -0.21 -30.0 -30.0 -30.0 -30.0 -0.48 -0.22
-3.71   0.15  -30.0  0.00  0.43 -0.48  0.79  0.39  0.12 -30.0  0.44 -0.38 -0.81 -3.35  0.45 -0.06 -0.93 -0.50
-3.63  -0.05  -30.0  0.84  0.51 -0.67  0.97  0.48  0.32  0.45  0.37 -0.46 -1.00 -3.47  0.16 -0.10 -1.79 -1.11
-2.83   0.55  -30.0 -30.0 -0.03 -30.0 -0.05  0.26  0.00  0.68  0.24 -0.10 -30.0 -2.98  0.24  0.00 -0.26 -30.0
-2.54  -0.44   0.70  0.39  0.28 -0.26 -30.0  0.18  0.39  0.18  0.36 -0.30 -0.24 -2.58  0.02  0.14  0.25 -1.12
-3.17   1.50   1.84 -0.15  0.29 -0.79  0.10  0.35  0.44 -30.0  0.57 -0.16 -30.0 -30.0  0.99  0.03  0.11 -0.09
-3.19   1.62   1.96 -0.13  0.36 -0.77  0.09  0.38  0.27 -30.0  0.39 -0.14 -30.0 -30.0  1.01  0.04 -0.09 -0.24
-3.54  -0.49   1.11  0.13  0.53 -0.47  0.59  0.30  0.05  0.23  0.11 -0.63 -0.90 -3.52  0.14 -0.05  0.65 -0.75
-4.05   0.63   1.13  0.30  0.43 -0.73 -0.89 -0.50 -0.01 -30.0 -0.04 -0.32 -0.23 -3.81  0.89  0.32 -1.69 -0.75
-3.00   0.19  -30.0 -30.0  0.40 -0.54 -30.0  0.42 -30.0  0.32  0.40 -30.0 -0.66 -3.01  0.06  0.03  0.34 -0.10
-2.60   2.28   1.39  0.99  0.21 -30.0 -30.0  1.08 -30.0  0.32  0.36 -30.0 -30.0 -2.59 -30.0 -30.0 -30.0  1.47
-3.39   0.29  -0.26  0.21  0.24 -0.53 -30.0  0.34  0.15  0.37  0.32 -0.40 -30.0 -3.32  0.25  0.08  0.01 -0.45
-3.35   0.00   0.18  0.20  0.42 -0.54 -30.0  0.40  0.40  0.35  0.32 -0.44 -30.0 -3.39  0.18  0.07 -2.24 -1.88
-2.85   0.45  -30.0 -30.0 -30.0 -30.0  0.33  0.13  0.40  0.59  0.19 -0.23 -30.0 -2.93  0.56  0.16 -0.57 -30.0
-2.87   0.38  -0.22 -30.0  0.36 -30.0 -30.0  0.30  0.09  0.28  0.30 -0.27 -0.66 -2.93  0.01  0.01  0.38 -0.49
-2.54   0.23  -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0  0.18 -30.0 -30.0 -30.0 -2.65 -0.02 -30.0 -0.38 -0.28
-2.73   1.60   1.70 -30.0  0.44 -30.0 -30.0 -30.0 -30.0  0.07  0.51 -30.0 -30.0 -2.53 -30.0 -30.0  0.30  1.45
-3.54   1.47   0.61  1.65  0.89 -0.53  0.50  0.19 -30.0  0.53  0.44 -0.15 -0.32 -3.49  0.48  0.38 -0.85 -0.80
-2.56   0.34  -30.0 -30.0  0.31 -0.45 -30.0  0.37 -30.0  0.34  0.45 -0.11 -0.34 -2.53 -0.03 -0.08  0.45  0.22
-3.22   0.27  -0.48  0.35  0.28 -0.78 -30.0  0.37 -0.01  0.29  0.33 -0.42 -0.83 -3.31  0.11 -0.02  0.14 -0.14
-2.56   0.28  -30.0 -30.0  0.07 -0.92  0.39  0.21  0.14  0.27  0.31 -0.19 -0.56 -2.53  0.17  0.23 -0.10 -0.94
-2.66   0.54   1.85  0.25  0.28 -30.0 -30.0  0.30 -30.0  0.34  0.35  0.22 -30.0 -2.61 -30.0 -30.0 -30.0 -0.73
-3.30   0.92   1.22 -30.0 -30.0 -0.61  0.26  0.42  0.40 -30.0  0.66 -0.20 -0.54 -3.18 -30.0  0.01  0.37  0.15
-3.20  -0.12   0.78 -0.08  0.17 -0.81  0.87  0.24 -0.04  0.03  0.03 -0.44 -0.78 -3.24 -0.03 -0.11 -2.06 -2.06
-2.94   0.60   0.55  0.07  0.31 -0.62  0.44  0.47  0.04  0.49  0.31 -0.25 -0.63 -2.96  0.16  0.04 -0.10 -0.62
-2.51   0.86   1.06 -0.17 -0.11 -30.0 -30.0  0.07  0.02  0.39  0.30  0.02 -0.34 -2.52 -30.0  0.09 -0.26 -0.75
-2.94  -0.45   0.75  0.66  0.27 -0.11  0.67  0.38  0.20  0.25  0.49 -0.47 -0.53 -2.81 -0.05  0.03  0.57 -0.21
-3.31  -0.29   1.33  0.33  0.53 -0.73  0.56  0.34  0.27  0.36  0.40 -0.45 -0.92 -3.17  0.16 -0.16 -0.18 -0.64
-3.23  -0.63  -30.0 -30.0  0.40 -0.45  0.64  0.36  0.30  0.44  0.51 -0.36 -0.86 -3.04  0.19  0.04  0.11 -0.19
-2.03  -30.0  -30.0 -30.0 -0.26 -1.18  0.11  0.06  0.27  0.31  0.34 -0.16 -0.60 -2.17 -30.0 -30.0 -1.18 -0.82
-2.17  -0.37   0.65  0.66  0.01 -0.63 -30.0  0.31  0.69  0.38  0.81 -0.23 -30.0 -1.80 -0.04 -0.01  0.05  0.69
-2.52   0.11  -0.54  0.06  0.10 -0.90 -30.0  0.24  0.07  0.17  0.25 -0.28 -0.68 -2.55  0.02 -0.10 -0.15 -0.56
-3.32  -0.65   1.12  0.68  0.33 -0.36 -30.0  0.29  0.22  0.30  0.35 -0.41 -30.0 -3.24  0.08  0.06  0.08 -0.55
-2.85   0.23  -0.23  0.38  0.28 -0.64 -30.0  0.39  0.02  0.29  0.29 -0.21 -30.0 -2.92  0.08 -0.11  0.54  0.51
-2.68  -0.28   0.62  0.40  0.41 -0.39 -30.0  0.47  0.25  0.29  0.35 -0.29 -0.51 -2.70 -0.10 -0.22  0.16 -0.04
-2.99  -0.73   1.07  0.94  0.44 -0.02 -30.0  0.30  0.17  0.17  0.30 -0.34 -30.0 -2.91 -0.01  0.10 -0.48 -0.45
-3.20  -0.02  -0.36  0.24  0.42 -0.33 -30.0  0.41  0.13  0.16  0.19 -0.36 -30.0 -3.22 -0.06  0.00 -1.01 -0.74
-2.74  -0.13   1.05  0.51  0.43 -0.18 -30.0  0.19  0.38  0.06  0.39 -0.31 -30.0 -2.89 -0.14  0.01  0.13 -0.70
-3.86   0.26   0.26  0.07  0.27 -0.73 -30.0  0.41  0.25  0.39  0.20 -0.45 -30.0 -3.95  0.44  0.04 -1.39 -1.10
-3.39  -30.0  -30.0 -30.0  0.36 -0.73  0.68  0.15  0.11  0.27  0.16 -0.55 -0.90 -3.50 -30.0 -30.0 -0.11 -1.23
-2.93   1.66   2.30 -30.0  0.22 -30.0  0.10  0.44  0.25 -30.0  0.25 -0.23 -30.0 -2.81  0.69 -0.04 -0.20 -0.33
-3.63   2.36   2.60  0.00  0.29 -0.51  0.33  0.61 -30.0 -30.0  0.39 -30.0 -30.0 -30.0 -30.0 -30.0 -0.68  0.31
-2.44   1.20   1.30 -30.0 -0.02 -0.49 -30.0  0.37 -30.0  0.33  0.69  0.04 -0.37 -2.07  0.02 -30.0  0.84  1.10
-4.10   0.23   0.97 -0.01  0.15 -0.77  0.43  0.22 -0.03  0.17  0.02 -0.48 -0.91 -4.10  0.38  0.10 -1.63 -1.55
-3.05   0.24  -30.0 -30.0  0.28 -0.84 -30.0  0.35 -30.0  0.27  0.32 -0.32 -0.51 -3.00  0.33  0.16  0.07 -0.85
-2.29   1.30  -0.10 -30.0 -0.10 -1.00 -30.0 -30.0 -30.0  0.14 -30.0 -0.19 -30.0 -2.23 -30.0 -30.0  0.39  1.31
-2.36   2.00  -30.0 -30.0  0.20 -30.0 -30.0  0.43 -30.0 -30.0  0.45 -0.02 -30.0 -2.38 -30.0  0.17  1.03  1.70
-3.14   1.37   1.91 -0.26 -0.02 -0.89  0.05  0.16  0.18 -30.0  0.24  0.02 -0.61 -3.13 -30.0  0.28 -1.36 -0.39
-3.50   0.56   0.24 -0.01  0.34 -0.70 -30.0  0.26 -0.04  0.29  0.19 -0.37 -30.0 -3.51  0.29  0.14  0.44 -1.00
-3.49   1.90   2.30 -30.0  1.52 -30.0 -30.0  0.00 -30.0  0.11  0.12 -0.23 -30.0 -3.60 -30.0 -30.0 -0.35 -0.45
-2.73   0.49   0.93 -30.0  0.25 -0.76  0.14  0.44  0.25  0.81  0.52  0.05 -0.60 -2.78  0.40  0.19  0.13  0.09
-2.62   0.41  -30.0 -30.0  0.24 -30.0  0.19  0.38  0.31  0.72  0.47 -0.12 -30.0 -2.70  0.32  0.05  0.27 -0.35
-2.89  -30.0  -30.0 -30.0  0.28 -0.61 -30.0  0.33  0.26  0.60  0.40 -0.10 -0.47 -2.81 -30.0 -30.0 -0.14 -0.42
-2.74  -0.07   0.40  0.43  0.31 -0.47 -30.0  0.32  0.33  0.19  0.37 -0.26 -30.0 -2.80 -0.22  0.04 -0.15 -0.65
-2.45   2.12   2.43  0.71  0.20 -30.0 -30.0  0.68 -30.0  0.91  0.44 -0.03 -30.0 -2.36 -30.0 -30.0 -30.0  2.45
-3.31   1.74  -30.0 -0.04 -0.05 -0.80 -0.04  0.74  0.06 -30.0  0.21 -0.37 -0.41 -30.0  0.94  0.06 -0.66  0.00
-2.88   1.71  -30.0 -0.39  0.08 -0.64  1.21  0.51 -30.0 -30.0  0.40 -0.19 -30.0 -2.64 -30.0 -30.0  0.04  0.02
-2.53   0.53  -30.0 -30.0  0.08 -0.88 -30.0  0.28 -30.0  0.48  0.33 -0.21 -0.61 -2.62  0.26  0.13  0.34 -0.33
-4.02   2.59   2.08  2.15  1.61  0.36  1.00 -30.0 -30.0 -30.0  0.31  0.34 -30.0 -3.52  0.62  0.17 -0.55 -0.33
-2.72   1.55  -30.0 -0.36  0.06 -0.87 -0.05  0.16  0.07 -30.0  0.25 -0.08 -0.54 -2.53 -30.0  0.17 -0.57 -0.37
-3.20   0.00   1.22  0.32  0.23 -0.76 -30.0  0.28  0.51  0.34  0.46 -0.28 -30.0 -2.96  0.32  0.22 -0.46 -0.94
