[Fe/H] [Sr/H] [Zr/H] [La/H] [Ce/H] [Nd/H] [Sm/H] [Eu/H]
-0.01 -0.22  0.00 -0.02 -0.09 -30.0 -0.01  0.12
 0.03 -30.0 -30.0  0.01 -0.01  0.09 -30.0  0.40
-0.12 -30.0  0.05 -30.0 -0.01 -0.20  0.12  0.06
 0.34  0.07  0.14  0.01  0.02  0.21 -30.0 -30.0
 0.12 -30.0  0.02 -30.0 -0.05 -0.04 -30.0 -30.0
-0.51 -0.69 -30.0 -30.0 -0.28 -0.29 -30.0 -30.0
-0.36 -30.0 -30.0 -0.48 -0.42 -0.29 -0.47 -0.13
-0.14 -30.0 -30.0 -30.0  0.03  0.08  0.08 -30.0
-0.06 -30.0 -0.11 -0.23 -0.18 -0.07 -0.24 -0.04
-0.45 -0.39 -0.21 -30.0 -0.26 -0.40 -0.13 -0.10
 0.12 -30.0 -30.0 -30.0 -30.0 -0.09 -0.04  0.00
 0.18 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.23 -0.03  0.02 -30.0 -0.29 -0.25 -30.0 -0.05
-0.14 -30.0 -30.0 -0.33 -0.22 -0.14 -30.0 -0.03
-0.70 -0.67 -0.41 -0.57 -0.84 -0.74 -30.0 -0.46
 0.36 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.27 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.13 -30.0 -0.18 -30.0 -0.19 -0.09 -0.03 -0.13
-0.32 -0.09 -0.29 -30.0 -0.08 -0.07 -0.04 -30.0
 0.03 -0.14  0.05 -0.05 -0.09 -0.03 -30.0  0.07
-0.18 -30.0 -0.09 -0.20 -0.22 -0.15 -0.17 -0.11
-0.69 -0.63 -30.0 -30.0 -30.0 -0.44 -0.31 -0.25
-0.41 -30.0 -0.31 -30.0 -0.43 -30.0 -0.16 -30.0
 0.06  0.22  0.12 -30.0 -30.0 -30.0 -0.02 -30.0
 0.22 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.26 -30.0 -0.32 -0.20  0.04 -0.24  0.00  0.03
 0.07  0.05 -30.0 -30.0  0.04 -0.09 -30.0  0.24
-0.17 -30.0 -0.07 -30.0 -0.41 -0.10 -0.03 -30.0
 0.14 -30.0 -30.0 -0.03 -30.0  0.08 -30.0 -30.0
-0.56 -30.0 -30.0 -0.69 -0.71 -0.61 -30.0 -30.0
-0.45 -30.0 -30.0 -0.57 -0.52 -30.0 -0.30 -0.14
-0.06 -30.0 -0.01 -30.0 -0.14 -0.08  0.32 -30.0
 0.31  0.16  0.21 -30.0 -30.0  0.16  0.04 -30.0
 0.31 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.06 -0.04  0.01 -0.12 -0.21 -0.14 -30.0  0.10
 0.08 -30.0  0.08 -30.0 -30.0 -30.0  0.06 -0.02
-0.44 -0.54 -0.27 -0.34 -0.54 -0.47 -0.38 -0.12
-0.57 -0.70 -0.40 -0.51 -0.76 -0.52 -0.28 -0.20
-0.43 -30.0 -30.0 -0.35 -0.39 -0.28 -0.21 -0.09
-0.05 -30.0 -0.01  0.00  0.10 -0.04  0.10  0.16
-0.54 -0.59 -0.25 -0.61 -0.67 -0.47 -0.28 -0.27
-0.81 -30.0 -30.0 -30.0 -0.59 -0.52 -30.0 -0.34
 0.20 -30.0 -30.0  0.05 -30.0 -30.0 -30.0  0.08
-0.49 -0.18 -30.0 -30.0 -0.18 -30.0 -0.22 -30.0
-0.48 -30.0 -0.23 -0.58 -0.63 -30.0 -30.0 -30.0
-0.53 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.16  0.00  0.14  0.05 -0.10 -0.07 -30.0  0.21
-0.13  0.02 -0.07  0.06 -0.02 -0.17  0.15  0.05
-0.93 -30.0 -0.62 -30.0 -30.0 -0.71 -0.42 -0.45
-0.07 -0.39 -0.16 -0.13 -0.40 -0.15 -0.21 -30.0
-0.52 -0.47 -0.26 -30.0 -0.43 -0.15 -30.0 -0.08
-0.16 -0.34 -0.10 -0.05 -0.15 -0.01  0.00  0.11
 0.28 -30.0  0.22  0.16  0.18  0.16 -30.0 -30.0
-0.46 -0.79 -30.0 -0.40 -30.0 -0.29 -30.0  0.02
-0.32 -30.0 -0.01 -0.09 -0.07 -0.18 -0.07 -0.04
-0.11 -30.0 -30.0  0.10  0.00 -0.02 -30.0 -0.05
 0.22 -30.0  0.11 -30.0  0.33  0.17  0.29  0.21
-0.15 -30.0 -0.14  0.05 -0.08 -0.32  0.03  0.00
 0.08 -30.0  0.07 -30.0 -0.01 -0.17 -30.0  0.15
 0.02 -30.0 -30.0 -30.0 -30.0 -0.03 -30.0  0.11
 0.15 -0.37 -30.0 -30.0 -0.53  0.11 -30.0  0.26
 0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.35 -0.48 -30.0 -0.28 -0.38 -0.26 -0.12  0.03
 0.06 -30.0  0.10  0.02  0.17  0.04  0.23  0.08
-1.62 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.13 -30.0 -0.20 -0.33 -0.25 -0.18 -30.0 -0.05
-0.22 -30.0 -0.24 -30.0 -0.32 -0.23 -0.08  0.06
 0.22 -30.0 -30.0 -30.0 -30.0  0.27 -30.0  0.39
-0.50 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.34 -30.0 -30.0 -0.27 -0.56 -30.0 -0.13 -0.17
-0.28 -30.0 -0.30 -30.0 -0.38 -0.27 -0.13  0.00
-0.21 -30.0 -30.0 -30.0 -30.0 -30.0 -0.51 -30.0
 0.00 -30.0  0.13 -30.0  0.29  0.06 -30.0  0.21
-0.40 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.23 -30.0 -30.0 -0.24 -0.22 -0.12 -30.0 -0.12
-0.40 -30.0 -0.39 -0.40 -0.40 -0.34 -30.0 -0.12
-0.67 -30.0 -0.43 -30.0 -0.73 -0.56 -0.48 -30.0
-0.88 -0.62 -0.55 -30.0 -30.0 -0.68 -0.27 -0.36
 0.01 -30.0 -30.0 -0.12 -30.0 -30.0 -0.08 -30.0
-0.07 -30.0 -0.09 -0.20 -0.06 -0.15 -30.0 -0.04
-0.17 -30.0 -0.13 -0.20 -0.29 -0.17 -30.0  0.02
-0.16 -30.0 -0.13 -0.02 -0.21 -0.19 -0.17  0.01
-0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.33 -30.0 -0.48 -30.0 -0.42 -0.28 -0.27 -0.16
 0.07 -30.0 -30.0  0.09 -0.03  0.07 -30.0  0.06
 0.05 -30.0 -0.01 -0.09 -0.10 -0.08 -30.0  0.08
-0.57 -30.0 -0.36 -0.45 -0.62 -30.0 -0.27 -0.18
-0.06 -30.0 -30.0 -30.0 -30.0 -0.07  0.16 -0.06
 0.25 -30.0  0.46  0.18  0.29  0.23 -30.0 -30.0
 0.06 -30.0 -30.0 -30.0  0.06 -30.0 -30.0 -30.0
-0.44 -0.65 -0.37 -0.51 -0.55 -0.46 -0.41 -0.24
-0.26 -0.46 -0.28 -0.28 -0.47 -0.30 -0.13 -0.02
 0.04 -30.0 -0.07  0.04  0.18  0.09  0.25  0.18
-0.64 -30.0 -0.31 -30.0 -30.0 -30.0 -30.0 -0.08
-0.68 -30.0 -0.62 -30.0 -30.0 -30.0 -30.0 -0.36
-0.62 -0.72 -0.54 -30.0 -0.71 -0.63 -0.39 -0.29
-0.24 -30.0 -0.16 -0.20 -0.20 -0.17 -0.03  0.11
-0.11 -30.0 -30.0 -0.17 -30.0 -30.0 -0.16 -30.0
-0.25 -0.47 -0.26 -0.24 -0.38 -0.16 -0.13 -0.07
-0.31 -30.0 -0.37 -0.32 -0.40 -30.0 -0.24 -30.0
-0.04 -0.22 -0.04 -30.0 -30.0  0.04 -30.0  0.06
-0.04 -30.0  0.33  0.02 -30.0 -30.0 -30.0  0.19
-0.96 -0.70 -0.67 -30.0 -30.0 -0.70 -30.0 -0.45
-0.26 -30.0 -30.0 -0.18 -0.11 -0.28 -30.0 -0.16
-0.11 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.35 -30.0 -0.39 -30.0 -0.40 -0.30 -0.46 -0.06
-0.44 -30.0 -30.0 -30.0 -0.52 -30.0 -0.25 -0.14
-0.52 -30.0 -0.26 -0.09 -30.0 -0.34 -30.0 -0.30
-0.20 -30.0 -0.17 -0.10 -0.18 -0.18 -0.07 -0.04
-0.54 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.06 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.04 -30.0 -30.0 -30.0 -30.0 -30.0  0.04 -30.0
-1.66 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.95 -0.88 -0.57 -30.0 -30.0 -0.82 -30.0 -0.47
-0.84 -0.81 -0.64 -30.0 -30.0 -0.76 -30.0 -0.42
 0.13 -0.10 -30.0 -30.0 -0.17 -0.10 -30.0 -30.0
-0.47 -30.0 -0.14 -30.0 -0.45 -30.0 -30.0 -30.0
-0.33 -0.48 -0.20 -30.0 -30.0 -0.26 -30.0 -0.11
-0.81 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.89 -0.80 -0.47 -0.71 -30.0 -0.79 -0.61 -0.44
-0.91 -0.87 -0.70 -30.0 -30.0 -30.0 -0.61 -30.0
-0.35 -30.0  0.04 -30.0 -30.0 -30.0 -30.0  0.08
-0.05 -0.31 -0.05 -0.10 -0.16 -0.12  0.10  0.12
-0.19 -30.0 -30.0 -30.0 -0.04 -30.0  0.02 -0.14
-0.84 -0.87 -0.70 -30.0 -30.0 -0.75 -0.46 -0.38
-0.32 -30.0 -0.29 -0.28 -0.49 -30.0 -30.0 -0.04
-0.04 -30.0 -0.01  0.02 -0.09 -0.25  0.04  0.05
-0.03 -0.29 -0.10 -0.12 -0.13 -0.21  0.05  0.09
-0.33 -30.0 -0.36 -0.29 -0.55 -30.0 -0.15 -0.03
-0.03 -0.27 -0.15 -30.0 -0.14 -0.13  0.02  0.12
-0.61 -0.40 -0.20 -30.0 -30.0 -0.33 -0.25 -30.0
 0.12 -30.0  0.24 -30.0  0.21 -30.0 -30.0  0.10
 0.14 -30.0  0.03 -30.0 -30.0  0.14 -30.0  0.22
-0.12 -30.0 -0.07 -0.15 -0.22 -30.0 -30.0 -30.0
-0.23 -30.0 -0.27 -0.31 -0.30 -0.27 -0.05  0.01
 0.14  0.23  0.26 -30.0  0.16 -0.06  0.05  0.29
-0.18 -0.32 -0.11 -30.0 -0.35 -30.0 -0.14  0.13
-0.63 -30.0 -30.0 -30.0 -30.0 -0.48 -30.0 -0.15
-0.27 -30.0 -0.34 -30.0 -0.52 -0.13  0.19 -0.10
-0.47 -30.0 -30.0 -0.27 -0.53 -0.37 -30.0 -0.12
-0.08 -30.0 -30.0  0.04 -0.17 -30.0  0.01  0.06
-0.07 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.50 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.16
-0.38 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.11 -0.01 -30.0 -30.0  0.05 -0.11 -30.0  0.25
-0.21 -30.0 -0.34 -0.31 -0.32 -0.16 -30.0  0.01
-0.43 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.34 -30.0 -0.20 -30.0 -0.32 -0.20 -0.15 -30.0
-0.38 -0.35 -30.0 -30.0 -0.22 -30.0 -0.09 -0.18
-0.11  0.18  0.28 -30.0 -30.0 -30.0 -30.0 -30.0
-0.27 -0.24  0.06 -30.0  0.07 -0.20 -30.0 -30.0
 0.33 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.71 -30.0 -0.35 -0.57 -0.80 -0.80 -0.56 -0.36
-0.68 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.25 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.15 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.41 -30.0 -0.35 -0.59 -30.0 -0.37 -0.24 -0.07
-0.46 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.03 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.45 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.07 -0.09  0.05 -30.0 -0.05  0.04 -30.0  0.16
-0.52 -30.0 -0.36 -0.45 -0.75 -30.0 -0.09 -0.20
 0.09 -30.0 -30.0 -0.12 -0.14  0.02 -30.0 -30.0
-0.28 -0.26 -30.0 -30.0 -0.17 -0.11  0.08 -0.05
 0.12 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.55 -0.54 -0.44 -0.31 -0.54 -0.30 -0.14 -0.10
-0.43 -0.01  0.00 -0.19 -30.0 -30.0 -30.0  0.00
-1.14 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.39 -0.24 -0.25 -30.0 -0.34 -0.24  0.01 -0.09
-0.80 -0.45 -30.0 -30.0 -0.69 -0.67 -30.0 -0.51
 0.21 -30.0  0.20  0.21  0.22  0.10  0.26  0.25
-1.02 -30.0 -0.60 -30.0 -30.0 -0.82 -30.0 -30.0
-1.06 -30.0 -30.0 -0.91 -30.0 -0.66 -30.0 -0.65
 0.13 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.42 -0.44 -30.0 -30.0 -0.28 -30.0 -30.0 -0.15
-0.12 -30.0 -30.0 -0.10 -0.02 -30.0 -30.0 -0.14
-0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.68 -0.58 -30.0 -30.0 -30.0 -0.50 -30.0 -0.34
-0.82 -30.0 -0.52 -0.83 -30.0 -30.0 -0.57 -30.0
-0.35 -0.43 -0.21 -0.40 -0.44 -0.29 -0.32 -0.27
-0.41 -30.0 -30.0 -30.0 -0.64 -0.31 -0.29 -0.24
-0.35 -0.50 -0.26 -0.61 -0.46 -0.33 -0.29 -0.26
-1.27 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.14 -30.0 -0.54 -30.0 -0.85 -0.91 -30.0 -0.74
-0.68 -0.67 -0.14 -30.0 -30.0 -0.38 -30.0 -30.0
-0.77 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.14 -30.0  0.12 -30.0  0.00  0.15 -30.0 -30.0
-0.84 -0.60 -30.0 -30.0 -30.0 -30.0 -30.0 -0.37
-0.86 -0.80 -0.61 -30.0 -0.82 -0.68 -30.0 -0.53
-1.43 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.07 -30.0 -30.0  0.15 -30.0 -30.0 -30.0 -30.0
-0.07 -30.0 -30.0 -30.0 -0.08 -30.0 -30.0 -30.0
-0.74 -30.0 -30.0 -30.0 -30.0 -30.0 -0.15 -30.0
-0.73 -0.76 -30.0 -30.0 -30.0 -0.71 -30.0 -0.42
 0.11 -30.0  0.17 -30.0  0.01 -30.0  0.05  0.03
-0.50  0.04 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.44  0.00 -30.0 -0.26 -30.0 -0.24 -0.14 -0.15
-1.75 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.10  0.08 -0.01 -30.0 -0.10  0.04  0.17  0.13
-0.61 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.25 -30.0 -0.90 -30.0 -0.98 -1.01 -0.77 -0.75
-0.58 -0.67 -30.0 -30.0 -0.52 -0.35 -0.39 -0.31
-0.45 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -0.19
-0.62 -30.0 -30.0 -30.0 -30.0 -30.0 -0.31 -0.43
-0.63 -30.0 -0.25 -0.47 -0.53 -0.47 -0.38 -0.38
-0.70 -30.0 -0.54 -30.0 -0.65 -0.59 -30.0 -0.48
-0.42 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.00 -0.13 -0.01 -0.27 -0.19 -0.07 -30.0 -0.09
-0.13 -0.19  0.04  0.05 -0.01  0.07  0.07  0.17
-0.13 -30.0  0.02 -30.0 -0.18 -30.0 -30.0 -30.0
-0.22 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.66 -30.0 -0.25 -30.0 -30.0 -30.0 -30.0 -30.0
 0.31  0.29  0.48 -30.0 -30.0  0.21 -30.0 -30.0
-0.10 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.76 -30.0 -0.28 -30.0 -0.68 -30.0 -30.0 -30.0
-0.44 -0.40 -0.25 -30.0 -0.48 -0.23 -0.23 -30.0
-1.82 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.07 -30.0  0.18 -30.0  0.07  0.04 -30.0  0.06
-0.70 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.12 -30.0 -30.0  0.15 -30.0 -30.0 -30.0 -30.0
-0.02 -30.0 -30.0 -30.0 -30.0  0.03 -30.0  0.11
-0.64 -30.0 -0.48 -30.0 -0.75 -30.0 -30.0 -0.36
-0.05 -30.0  0.00 -30.0 -0.02 -0.18 -30.0 -0.17
-0.65 -0.61 -30.0 -30.0 -0.70 -0.53 -0.40 -0.33
-0.59 -30.0 -0.19 -30.0 -0.66 -0.46 -30.0 -0.18
 0.09 -0.08 -0.05 -30.0 -0.17 -0.02 -0.01 -0.05
-1.30 -30.0 -30.0 -30.0 -1.01 -0.99 -0.80 -30.0
-0.67 -0.23 -0.10 -30.0 -0.20 -30.0 -0.31 -0.39
-0.75 -30.0 -0.24 -30.0 -0.62 -30.0 -30.0 -0.40
-0.35 -0.43 -0.15 -0.40 -0.48 -0.28 -0.29 -0.19
-0.62 -30.0 -0.20 -30.0 -30.0 -30.0 -30.0 -0.18
-0.35 -30.0 -0.30 -30.0 -0.32 -30.0 -30.0 -0.16
-0.67 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.03 -30.0 -0.07 -30.0 -30.0 -30.0 -30.0 -30.0
-0.56 -0.60 -0.41 -30.0 -0.26 -0.47 -30.0 -0.24
-0.11 -30.0  0.49 -30.0 -0.21 -30.0 -0.04 -30.0
-0.52 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-1.51 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -1.12
-0.94 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.11 -0.23 -0.11 -0.21 -0.10 -0.27 -0.13 -0.10
-0.81 -0.72 -30.0 -30.0 -0.78 -0.61 -0.40 -0.44
-0.81 -30.0 -0.54 -30.0 -0.84 -30.0 -0.45 -0.37
-1.39 -1.50 -1.06 -30.0 -1.47 -30.0 -30.0 -30.0
-1.46 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.06 -30.0  0.12  0.06 -0.07 -0.03 -0.03  0.11
 0.26 -30.0 -30.0  0.11  0.09  0.10 -30.0 -30.0
-0.19 -30.0 -0.19 -0.26 -0.13 -30.0 -0.14 -0.19
-0.54 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.46 -30.0 -0.19 -30.0 -30.0 -0.44 -30.0 -0.17
-0.32 -30.0 -30.0 -0.32 -0.32 -0.23 -0.50 -0.10
-0.66 -30.0 -0.47 -30.0 -0.61 -0.47 -30.0 -0.34
-0.64 -0.61 -0.53 -30.0 -0.59 -0.54 -0.41 -0.40
-0.07 -0.07 -30.0 -0.06 -0.07 -0.10 -30.0  0.05
-0.16 -30.0  0.14 -30.0 -0.10  0.01 -30.0  0.10
-2.62 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.67 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
 0.08 -30.0  0.52 -30.0  0.22  0.19 -30.0  0.26
-0.88 -30.0 -0.52 -30.0 -30.0 -0.35 -30.0 -0.33
 0.22 -30.0  0.14  0.19  0.03  0.15  0.17  0.20
-0.91 -30.0 -0.17 -30.0 -0.78 -0.60 -30.0 -0.50
-0.47 -30.0 -30.0 -0.45 -0.51 -0.41 -0.06 -0.12
-0.11 -30.0 -0.08 -0.10 -0.14 -0.10  0.02  0.07
-0.08 -30.0 -0.09 -0.13 -0.23 -0.09 -0.25 -0.06
-0.27 -0.40 -0.10 -0.26 -0.27 -0.18 -0.03  0.01
-1.03 -30.0 -0.41 -0.82 -0.75 -30.0 -0.64 -0.58
 0.37 -30.0 -30.0  0.21  0.20  0.28 -30.0  0.30
 0.07 -30.0  0.25  0.10  0.08 -0.03  0.14  0.13
 0.25 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.33 -30.0 -30.0 -30.0 -0.19 -0.17 -30.0 -0.02
-0.77 -30.0 -0.42 -0.72 -0.88 -0.60 -30.0 -30.0
-0.06 -0.24 -0.03 -0.10 -0.16 -0.07 -0.10 -0.01
 0.07 -30.0  0.13 -0.04 -0.01  0.00  0.09  0.02
-0.09 -30.0 -0.10 -0.10 -0.15 -0.08 -0.01  0.03
-0.44 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.68 -0.59 -30.0 -30.0 -30.0 -0.29 -30.0 -30.0
 0.08 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.70 -30.0 -0.50 -30.0 -0.83 -0.54 -0.54 -0.43
-0.70 -30.0 -0.32 -30.0 -0.61 -0.69 -30.0 -0.31
-0.01 -30.0  0.15  0.01  0.15  0.05  0.04  0.02
 0.01 -30.0  0.04  0.00  0.02  0.06 -0.05 -0.03
-0.31 -30.0 -0.20 -0.20 -30.0 -0.09  0.01  0.02
-0.58 -0.46 -0.44 -30.0 -0.60 -0.65 -0.44 -0.48
 0.25 -30.0  0.31 -30.0  0.07  0.16  0.18 -30.0
-0.50 -0.53 -0.19 -0.23 -0.31 -0.21 -0.01  0.12
-0.44 -30.0 -30.0 -30.0 -30.0 -0.26 -30.0 -0.19
-0.66 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0 -30.0
-0.03 -30.0 -0.02 -0.03 -0.10 -0.07  0.06  0.03
-0.32 -0.51 -0.21 -0.41 -0.47 -0.25 -0.19 -0.08
 0.24 -30.0 -30.0 -30.0  0.16  0.24  0.45 -30.0
-0.55 -0.51 -30.0 -30.0 -0.42 -30.0 -30.0 -0.26
 0.07 -30.0 -30.0 -0.14 -0.14 -0.01  0.01  0.01
-0.08 -30.0 -0.02 -30.0 -0.01  0.16 -30.0  0.05
-0.30 -30.0 -0.20 -0.18 -0.17 -0.12  0.12 -0.04
-0.49 -30.0 -30.0 -30.0 -0.49 -0.44 -30.0 -0.15
-0.17 -0.37 -0.18 -0.41 -0.27 -0.17 -0.14 -0.11
-0.07 -0.30 -0.04 -0.15 -0.15 -0.07 -0.03  0.02
-0.35 -30.0 -30.0 -30.0 -0.16 -0.18 -30.0  0.01
